Subcategory ID,Function,Category,Title,Description
ID.RA-08,IDENTIFY (ID),ID.RA Risk Assessment,Risk Assessment,"Processes for receiving, analyzing, and responding to vulnerability disclosures are established."
ID.RA-09,IDENTIFY (ID),ID.RA Risk Assessment,Risk Assessment,The authenticity and integrity of hardware and software are assessed prior to acquisition and use.
ID.RA-10,IDENTIFY (ID),ID.RA Risk Assessment,Risk Assessment,Critical suppliers are assessed prior to acquisition.
ID.IM-01,IDENTIFY (ID),ID.IM Improvement,Improvement,Improvements are identified from evaluations.
ID.IM-02,IDENTIFY (ID),ID.IM Improvement,Improvement,Improvements are identified from security tests and exercises.
ID.IM-03,IDENTIFY (ID),ID.IM Improvement,Improvement,"Improvements are identified from execution of operational processes, procedures, and activities."
ID.IM-04,IDENTIFY (ID),ID.IM Improvement,Improvement,"Incident response plans and other cybersecurity plans that affect operations are established, communicated, maintained, and improved."
PR.AA-01,PROTECT (PR),"PR.AA Identity Management, Authentication, and Access Control","Identity Management, Authentication, and Access Control","Identities and credentials for authorized users, services, and hardware are managed by the organization."
PR.AA-02,PROTECT (PR),"PR.AA Identity Management, Authentication, and Access Control","Identity Management, Authentication, and Access Control",Identities are proofed and bound to credentials based on the context of interactions.
PR.AA-03,PROTECT (PR),"PR.AA Identity Management, Authentication, and Access Control","Identity Management, Authentication, and Access Control","Users, services, and hardware are authenticated."
PR.AA-04,PROTECT (PR),"PR.AA Identity Management, Authentication, and Access Control","Identity Management, Authentication, and Access Control","Identity assertions are protected, conveyed, and verified."
PR.AA-05,PROTECT (PR),"PR.AA Identity Management, Authentication, and Access Control","Identity Management, Authentication, and Access Control","Access permissions, entitlements, and authorizations are defined in a policy, managed, enforced, and reviewed, and incorporate the principles of least privilege and separation of duties."
PR.AA-06,PROTECT (PR),"PR.AA Identity Management, Authentication, and Access Control","Identity Management, Authentication, and Access Control","Physical access to assets is managed, monitored, and enforced commensurate with risk."
PR.AT-01,PROTECT (PR),PR.AT Awareness and Training,Awareness and Training,Personnel are provided with awareness and training so that they possess the knowledge and skills to perform general tasks with cybersecurity risks in mind.
PR.AT-02,PROTECT (PR),PR.AT Awareness and Training,Awareness and Training,Individuals in specialized roles are provided with awareness and training so that they possess the knowledge and skills to perform relevant tasks with cybersecurity risks in mind.
PR.DS-01,PROTECT (PR),PR.DS Data Security,Data Security,"The confidentiality, integrity, and availability of data-at-rest are protected."
PR.DS-02,PROTECT (PR),PR.DS Data Security,Data Security,"The confidentiality, integrity, and availability of data-in-transit are protected."
PR.DS-10,PROTECT (PR),PR.DS Data Security,Data Security,"The confidentiality, integrity, and availability of data-in-use are protected."
PR.DS-11,PROTECT (PR),PR.DS Data Security,Data Security,"Backups of data are created, protected, maintained, and tested."
PR.PS-01,PROTECT (PR),PR.PS Platform Security,Platform Security,Configuration management practices are established and applied.
PR.PS-02,PROTECT (PR),PR.PS Platform Security,Platform Security,"Software is maintained, replaced, and removed commensurate with risk."
PR.PS-03,PROTECT (PR),PR.PS Platform Security,Platform Security,"Hardware is maintained, replaced, and removed commensurate with risk."
PR.PS-04,PROTECT (PR),PR.PS Platform Security,Platform Security,Log records are generated and made available for continuous monitoring.
PR.PS-05,PROTECT (PR),PR.PS Platform Security,Platform Security,Installation and execution of unauthorized software are prevented.
PR.PS-06,PROTECT (PR),PR.PS Platform Security,Platform Security,"Secure software development practices are integrated, and their performance is monitored throughout the software development life cycle."
PR.IR-01,PROTECT (PR),PR.IR Technology Infrastructure Resilience,Technology Infrastructure Resilience,Networks and environments are protected from unauthorized logical access and usage.
PR.IR-02,PROTECT (PR),PR.IR Technology Infrastructure Resilience,Technology Infrastructure Resilience,The organization's technology assets are protected from environmental threats.
PR.IR-03,PROTECT (PR),PR.IR Technology Infrastructure Resilience,Technology Infrastructure Resilience,Mechanisms are implemented to achieve resilience requirements in normal and adverse situations.
PR.IR-04,PROTECT (PR),PR.IR Technology Infrastructure Resilience,Technology Infrastructure Resilience,Adequate resource capacity to ensure availability is maintained.
DE.CM-01,DETECT (DE),DE.CM Continuous Monitoring,Continuous Monitoring,Networks and network services are monitored to find potentially adverse events.
DE.CM-02,DETECT (DE),DE.CM Continuous Monitoring,Continuous Monitoring,The physical environment is monitored to find potentially adverse events.
DE.CM-03,DETECT (DE),DE.CM Continuous Monitoring,Continuous Monitoring,Personnel activity and technology usage are monitored to find potentially adverse events.
DE.CM-06,DETECT (DE),DE.CM Continuous Monitoring,Continuous Monitoring,External service provider activities and services are monitored to find potentially adverse events.
DE.CM-09,DETECT (DE),DE.CM Continuous Monitoring,Continuous Monitoring,"Computing hardware and software, runtime environments, and their data are monitored to find potentially adverse events."
DE.AE-02,DETECT (DE),DE.AE Adverse Event Analysis,Adverse Event Analysis,Potentially adverse events are analyzed to better understand associated activities.
DE.AE-03,DETECT (DE),DE.AE Adverse Event Analysis,Adverse Event Analysis,Information is correlated from multiple sources.
DE.AE-04,DETECT (DE),DE.AE Adverse Event Analysis,Adverse Event Analysis,The estimated impact and scope of adverse events are understood.
DE.AE-06,DETECT (DE),DE.AE Adverse Event Analysis,Adverse Event Analysis,Information on adverse events is provided to authorized staff and tools.
DE.AE-07,DETECT (DE),DE.AE Adverse Event Analysis,Adverse Event Analysis,Cyber threat intelligence and other contextual information are integrated into the analysis.
DE.AE-08,DETECT (DE),DE.AE Adverse Event Analysis,Adverse Event Analysis,Incidents are declared when adverse events meet the defined incident criteria.
RS.MA-01,RESPOND (RS),RS.MA Incident Management,Incident Management,The incident response plan is executed in coordination with relevant third parties once an incident is declared.
RS.MA-02,RESPOND (RS),RS.MA Incident Management,Incident Management,Incident reports are triaged and validated.
RS.MA-03,RESPOND (RS),RS.MA Incident Management,Incident Management,Incidents are categorized and prioritized.
RS.MA-04,RESPOND (RS),RS.MA Incident Management,Incident Management,Incidents are escalated or elevated as needed.
RS.MA-05,RESPOND (RS),RS.MA Incident Management,Incident Management,The criteria for initiating incident recovery are applied.
RS.AN-03,RESPOND (RS),RS.AN Incident Analysis,Incident Analysis,Analysis is performed to establish what has taken place during an incident and the root cause of the incident.
RS.AN-06,RESPOND (RS),RS.AN Incident Analysis,Incident Analysis,"Actions performed during an investigation are recorded, and the records' integrity and provenance are preserved."
RS.AN-07,RESPOND (RS),RS.AN Incident Analysis,Incident Analysis,"Incident data and metadata are collected, and their integrity and provenance are preserved."
RS.AN-08,RESPOND (RS),RS.AN Incident Analysis,Incident Analysis,An incident's magnitude is estimated and validated.
RS.CO-02,RESPOND (RS),RS.CO Incident Response Reporting and Communication,Incident Response Reporting and Communication,Internal and external stakeholders are notified of incidents.
RS.CO-03,RESPOND (RS),RS.CO Incident Response Reporting and Communication,Incident Response Reporting and Communication,Information is shared with designated internal and external stakeholders.
RS.MI-01,RESPOND (RS),RS.MI Incident Mitigation,Incident Mitigation,Incidents are contained.
RS.MI-02,RESPOND (RS),RS.MI Incident Mitigation,Incident Mitigation,Incidents are eradicated.
RC.RP-01,RECOVER (RC),RC.RP Incident Recovery Plan Execution,Incident Recovery Plan Execution,The recovery portion of the incident response plan is executed once initiated from the incident response process.
RC.RP-02,RECOVER (RC),RC.RP Incident Recovery Plan Execution,Incident Recovery Plan Execution,"Recovery actions are selected, scoped, prioritized, and performed."
RC.RP-03,RECOVER (RC),RC.RP Incident Recovery Plan Execution,Incident Recovery Plan Execution,The integrity of backups and other restoration assets is verified before using them for restoration.
RC.RP-04,RECOVER (RC),RC.RP Incident Recovery Plan Execution,Incident Recovery Plan Execution,Critical mission functions and cybersecurity risk management are considered to establish post-incident operational norms.
RC.RP-05,RECOVER (RC),RC.RP Incident Recovery Plan Execution,Incident Recovery Plan Execution,"The integrity of restored assets is verified, systems and services are restored, and normal operating status is confirmed."
RC.RP-06,RECOVER (RC),RC.RP Incident Recovery Plan Execution,Incident Recovery Plan Execution,"The end of incident recovery is declared based on criteria, and incident-related documentation is completed."
RC.CO-03,RECOVER (RC),RC.CO Incident Recovery Communication,Incident Recovery Communication,Recovery activities and progress in restoring operational capabilities are communicated to designated internal and external stakeholders.
RC.CO-04,RECOVER (RC),RC.CO Incident Recovery Communication,Incident Recovery Communication,Public updates on incident recovery are shared using approved methods and messaging.
