Safeguard ID,Control Title,Safeguard Title,Description,Implementation Group (IG1/IG2/IG3),Asset Type,Security Function
6.3,Access Control Management,Require MFA for Externally-Exposed Applications,"Require all externally-exposed enterprise or third-party applications to enforce multi-factor authentication (MFA), where supported.",IG1,Users,Protect
6.4,Access Control Management,Require MFA for Remote Network Access,Require MFA for remote network access.,IG1,Users,Protect
6.5,Access Control Management,Require MFA for Administrative Access,"Require MFA for all administrative access accounts, where supported, on all enterprise assets, whether managed on-site or through a third-party provider.",IG1,Users,Protect
6.6,Access Control Management,Establish and Maintain an Inventory of Authentication and Authorization Systems,"Establish and maintain an inventory of the enterprise's authentication and authorization systems, including those hosted on-site or at a remote service provider. Review at least annually.",IG2,Applications,Identify
6.7,Access Control Management,Centralize Access Control,"Centralize access control for all enterprise assets through a directory service or SSO provider, where supported.",IG2,Users,Protect
6.8,Access Control Management,Define and Maintain Role-Based Access Control,"Define and maintain role-based access control, through determining and documenting the access rights necessary for each role within the enterprise to successfully carry out its assigned duties.",IG3,Users,Protect
7.1,Continuous Vulnerability Management,Establish and Maintain a Vulnerability Management Process,"Establish and maintain a documented vulnerability management process for enterprise assets. Review and update documentation annually, or when significant enterprise changes occur.",IG1,Applications,Govern
7.2,Continuous Vulnerability Management,Establish and Maintain a Remediation Process,"Establish and maintain a risk-based remediation strategy documented in a remediation process, with monthly, or more frequent, reviews.",IG1,Applications,Respond
7.3,Continuous Vulnerability Management,Perform Automated Operating System Patch Management,"Perform operating system updates on enterprise assets through automated patch management on a monthly basis, or more frequently.",IG1,Devices,Protect
7.4,Continuous Vulnerability Management,Perform Automated Application Patch Management,"Perform application updates on enterprise assets through automated patch management on a monthly basis, or more frequently.",IG1,Applications,Protect
7.5,Continuous Vulnerability Management,Perform Automated Vulnerability Scans of Internal Enterprise Assets,"Perform automated vulnerability scans of internal enterprise assets on a quarterly basis, or more frequently, using a qualified vulnerability scanning tool.",IG2,Devices,Identify
7.6,Continuous Vulnerability Management,Perform Automated Vulnerability Scans of Externally-Exposed Enterprise Assets,"Perform automated vulnerability scans of externally-exposed enterprise assets using a qualified vulnerability scanning tool, on a monthly basis, or more frequently.",IG2,Devices,Identify
7.7,Continuous Vulnerability Management,Remediate Detected Vulnerabilities,"Remediate detected vulnerabilities in software through processes and tooling on a monthly, or more frequent, basis, based on the remediation process.",IG2,Applications,Respond
8.1,Audit Log Management,Establish and Maintain an Audit Log Management Process,"Establish and maintain a documented audit log management process that defines the enterprise's logging requirements. Review and update documentation annually, or when significant enterprise changes occur.",IG1,Network,Govern
8.2,Audit Log Management,Collect Audit Logs,"Collect audit logs, ensuring logging is enabled across enterprise assets and software in accordance with the audit log management process.",IG1,Network,Detect
8.3,Audit Log Management,Ensure Adequate Audit Log Storage,Ensure that logging destinations maintain adequate storage to comply with the enterprise's audit log management process.,IG1,Network,Protect
8.4,Audit Log Management,Standardize Time Synchronization,"Standardize time synchronization by configuring at least two synchronized time sources across enterprise assets, where supported.",IG2,Network,Protect
8.5,Audit Log Management,Collect Detailed Audit Logs,"Configure detailed audit logging for enterprise assets containing sensitive data, including event source, date, username, timestamp, source addresses, destination addresses, and other useful elements.",IG2,Network,Detect
8.6,Audit Log Management,Collect DNS Query Audit Logs,"Collect DNS query audit logs on enterprise assets, where appropriate and supported.",IG2,Network,Detect
8.7,Audit Log Management,Collect URL Request Audit Logs,"Collect URL request audit logs on enterprise assets, where appropriate and supported.",IG2,Network,Detect
8.8,Audit Log Management,Collect Command-Line Audit Logs,"Collect command-line audit logs, such as PowerShell and Bash history, on enterprise assets.",IG2,Devices,Detect
8.9,Audit Log Management,Centralize Audit Logs,"Centralize, to the extent possible, audit log collection and retention across enterprise assets.",IG2,Network,Detect
8.10,Audit Log Management,Retain Audit Logs,Retain audit logs across enterprise assets for a minimum of 90 days.,IG2,Network,Protect
8.11,Audit Log Management,Conduct Audit Log Reviews,"Conduct reviews of audit logs to detect anomalies or abnormal events that could indicate a potential threat, on a weekly basis, or more frequently.",IG2,Network,Detect
8.12,Audit Log Management,Collect Service Provider Logs,"Collect service provider logs, where supported, such as audit logs on data access, changes to permissions, and administrative actions.",IG3,Network,Detect
9.1,Email and Web Browser Protections,Ensure Use of Only Fully Supported Browsers and Email Clients,"Ensure only fully supported browsers and email clients are allowed to execute in the enterprise, only using the latest version of browsers and email clients provided through the vendor.",IG1,Applications,Protect
9.2,Email and Web Browser Protections,Use DNS Filtering Services,Use DNS filtering services on all enterprise assets to block access to known malicious domains.,IG1,Network,Protect
9.3,Email and Web Browser Protections,Maintain and Enforce Network-Based URL Filters,Enforce and update network-based URL filters to limit an enterprise asset from connecting to potentially malicious or unapproved websites.,IG2,Network,Protect
9.4,Email and Web Browser Protections,Restrict Unnecessary or Unauthorized Browser and Email Client Extensions,"Restrict, either through uninstalling or disabling, any unauthorized or unnecessary browser or email client plugins, extensions, and add-on applications.",IG2,Applications,Protect
9.5,Email and Web Browser Protections,Implement DMARC,"To lower the chance of spoofed or modified emails from valid domains, implement DMARC policy and verification, starting with SPF and DKIM.",IG2,Network,Protect
9.6,Email and Web Browser Protections,Block Unnecessary File Types,Block unnecessary file types attempting to enter the enterprise's email gateway.,IG2,Network,Protect
9.7,Email and Web Browser Protections,Deploy and Maintain Email Server Anti-Malware Protections,"Deploy and maintain email server anti-malware protections, such as attachment scanning and/or sandboxing.",IG3,Applications,Protect
10.1,Malware Defenses,Deploy and Maintain Anti-Malware Software,Deploy and maintain anti-malware software on all enterprise assets.,IG1,Devices,Protect
10.2,Malware Defenses,Configure Automatic Anti-Malware Signature Updates,Configure automatic updates for anti-malware signature files on all enterprise assets.,IG1,Devices,Protect
10.3,Malware Defenses,Disable Autorun and Autoplay for Removable Media,Disable autorun and autoplay auto-execute functionality for removable media.,IG1,Devices,Protect
10.4,Malware Defenses,Configure Automatic Anti-Malware Scanning of Removable Media,Configure anti-malware software to automatically scan removable media.,IG2,Devices,Detect
10.5,Malware Defenses,Enable Anti-Exploitation Features,"Enable anti-exploitation features on enterprise assets and software, where possible, such as Microsoft Data Execution Prevention (DEP), ASLR, or exploit protection.",IG2,Devices,Protect
10.6,Malware Defenses,Centrally Manage Anti-Malware Software,Centrally manage anti-malware software.,IG2,Devices,Protect
10.7,Malware Defenses,Use Behavior-Based Anti-Malware Software,"Use behavior-based anti-malware software, such as endpoint detection and response (EDR) tooling.",IG3,Devices,Detect
11.1,Data Recovery,Establish and Maintain a Data Recovery Process,"Establish and maintain a documented data recovery process that includes provisions for the scope of data recovery activities. Review and update documentation annually, or when significant enterprise changes occur.",IG1,Data,Recover
11.2,Data Recovery,Perform Automated Backups,"Perform automated backups of in-scope enterprise assets. Run backups weekly, or more frequently, based on the sensitivity of the data.",IG1,Data,Recover
11.3,Data Recovery,Protect Recovery Data,"Protect recovery data with equivalent controls to the original data, including encryption and off-site storage.",IG1,Data,Protect
11.4,Data Recovery,Establish and Maintain an Isolated Instance of Recovery Data,"Establish and maintain an isolated instance of recovery data, such as a physically separate storage location, that is not directly accessible by an unauthorized user.",IG1,Data,Recover
11.5,Data Recovery,Test Data Recovery,"Test backup recovery quarterly, or more frequently, for a sampling of in-scope enterprise assets.",IG2,Data,Recover
12.1,Network Infrastructure Management,Ensure Network Infrastructure is Up-to-Date,"Ensure network infrastructure is kept up-to-date, using the latest stable release of software and firmware provided by the vendor.",IG1,Network,Protect
12.2,Network Infrastructure Management,Establish and Maintain a Secure Network Architecture,"Design and maintain a secure network architecture that addresses factors such as least privilege access, control of internal and external network flows, and network segmentation. Review and update annually.",IG2,Network,Protect
12.3,Network Infrastructure Management,Securely Manage Network Infrastructure,"Securely manage network infrastructure, using version-controlled configuration files, secure network protocols, and dedicated administrative accounts.",IG2,Network,Protect
12.4,Network Infrastructure Management,Establish and Maintain Architecture Diagram(s),"Establish and maintain architecture diagram(s) and/or other documentation depicting the data flow, network topology, and system architecture. Review and update annually, or when significant changes occur.",IG2,Network,Identify
12.5,Network Infrastructure Management,"Centralize Network Authentication, Authorization, and Auditing (AAA)","Centralize network AAA for the entire enterprise infrastructure, where supported.",IG2,Network,Protect
12.6,Network Infrastructure Management,Use of Secure Network Management and Communication Protocols,"Use secure network management and communication protocols, such as 802.1X, Wireless Protected Access 2 (WPA2) Enterprise or greater, and SSH.",IG2,Network,Protect
12.7,Network Infrastructure Management,Ensure Remote Devices Utilize a VPN and are Connecting to an Enterprise's AAA Infrastructure,Require users to authenticate to enterprise-managed VPN and authentication services prior to accessing enterprise resources on end-user devices.,IG2,Devices,Protect
12.8,Network Infrastructure Management,Establish and Maintain Dedicated Computing Resources for All Administrative Work,"Establish and maintain dedicated computing resources, either physically or logically separated, for administrative tasks and tasks requiring elevated access.",IG3,Devices,Protect
13.1,Network Monitoring and Defense,Centralize Security Event Alerting,"Centralize security event alerting across enterprise assets for log correlation and analysis, using a security information and event management (SIEM) tool or similar.",IG2,Network,Detect
13.2,Network Monitoring and Defense,Deploy a Host-Based Intrusion Detection Solution,"Deploy a host-based intrusion detection solution on enterprise assets, where appropriate and/or supported.",IG2,Devices,Detect
13.3,Network Monitoring and Defense,Deploy a Network Intrusion Detection Solution,"Deploy a network intrusion detection solution on enterprise assets, where appropriate.",IG2,Network,Detect
13.4,Network Monitoring and Defense,Perform Traffic Filtering Between Network Segments,"Perform traffic filtering between network segments, where appropriate.",IG2,Network,Protect
13.5,Network Monitoring and Defense,Manage Access Control for Remote Assets,"Manage access control for assets remote from the enterprise's network, ensuring that remote assets meet minimum security requirements prior to connecting.",IG2,Devices,Protect
13.6,Network Monitoring and Defense,Collect Network Traffic Flow Logs,Collect network traffic flow logs and/or network traffic to review and alert upon from network devices.,IG2,Network,Detect
13.7,Network Monitoring and Defense,Deploy a Host-Based Intrusion Prevention Solution,"Deploy a host-based intrusion prevention solution on enterprise assets, where appropriate and/or supported.",IG3,Devices,Protect
13.8,Network Monitoring and Defense,Deploy a Network Intrusion Prevention Solution,"Deploy a network intrusion prevention solution, where appropriate.",IG3,Network,Protect
13.9,Network Monitoring and Defense,Deploy Port-Level Access Control,"Deploy port-level access control, using 802.1x, or similar network access control tooling.",IG3,Network,Protect
13.10,Network Monitoring and Defense,Perform Application Layer Filtering,"Perform application layer filtering, such as a proxy or web application firewall, in front of critical servers.",IG3,Network,Protect
13.11,Network Monitoring and Defense,Tune Security Event Alerting Thresholds,"Tune security event alerting thresholds monthly, or more frequently.",IG3,Network,Detect
14.1,Security Awareness and Skills Training,Establish and Maintain a Security Awareness Program,"Establish and maintain a security awareness program to influence workforce behavior to be security conscious. Conduct training at hire and, at a minimum, annually.",IG1,Users,Protect
14.2,Security Awareness and Skills Training,Train Workforce Members to Recognize Social Engineering Attacks,"Train workforce members to recognize social engineering attacks, such as phishing, pretexting, and tailgating.",IG1,Users,Protect
14.3,Security Awareness and Skills Training,Train Workforce Members on Authentication Best Practices,"Train workforce members on authentication best practices, such as MFA, password composition, and credential management.",IG1,Users,Protect
14.4,Security Awareness and Skills Training,Train Workforce on Data Handling Best Practices,"Train workforce members on how to identify and properly store, transfer, archive, and destroy sensitive data.",IG1,Users,Protect
14.5,Security Awareness and Skills Training,Train Workforce Members on Causes of Unintentional Data Exposure,"Train workforce members to be aware of causes for unintentional data exposure, such as losing a portable device or emailing the wrong recipient.",IG1,Users,Protect
14.6,Security Awareness and Skills Training,Train Workforce Members on Recognizing and Reporting Security Incidents,Train workforce members to be able to identify the most common indicators of an incident and be able to report such an incident.,IG1,Users,Detect
14.7,Security Awareness and Skills Training,Train Workforce on How to Identify and Report if Their Enterprise Assets are Missing Security Updates,Train workforce to understand how to verify and report out-of-date software patches or any failures in automated processes and tools.,IG1,Users,Protect
14.8,Security Awareness and Skills Training,Train Workforce on the Dangers of Connecting to and Transmitting Enterprise Data Over Insecure Networks,"Train workforce members on the dangers of connecting to, and transmitting data over, insecure networks for enterprise activities, and how to mitigate these risks, such as use of a VPN.",IG1,Users,Protect
14.9,Security Awareness and Skills Training,Conduct Role-Specific Security Awareness and Skills Training,"Conduct role-specific security awareness and skills training, such as secure system administration for IT staff and secure coding for developers.",IG2,Users,Protect
15.1,Service Provider Management,Establish and Maintain an Inventory of Service Providers,"Establish and maintain an inventory of service providers, ensuring the inventory lists all known service providers, classification(s), and designated enterprise contact(s). Review at least annually.",IG1,Data,Identify
15.2,Service Provider Management,Establish and Maintain a Service Provider Management Policy,Establish and maintain a service provider management policy that ensures all third-party service providers are assessed against a set of security requirements. Review and update annually.,IG2,Data,Govern
15.3,Service Provider Management,Classify Service Providers,"Classify service providers based on the sensitivity and volume of data accessible to the service provider, and the risk to the enterprise from this data access.",IG2,Data,Identify
15.4,Service Provider Management,Ensure Service Provider Contracts Include Security Requirements,"Ensure service provider contracts include security requirements, such as minimum security program requirements, notification of security incidents, and data disposal terms.",IG2,Data,Protect
15.5,Service Provider Management,Assess Service Providers,"Assess service providers consistent with the enterprise's service provider management policy, using standardized security questionnaires or independent audits/assessments.",IG3,Data,Identify
15.6,Service Provider Management,Monitor Service Providers,"Monitor service providers consistent with the enterprise's service provider management policy, including periodic reassessment of their compliance and any changes to their service delivery.",IG3,Data,Detect
15.7,Service Provider Management,Securely Decommission Service Providers,"Securely decommission service providers, considering factors such as user and service account deactivation, termination of data flows, and secure disposal of enterprise data.",IG3,Data,Protect
16.1,Application Software Security,Establish and Maintain a Secure Application Development Process,"Establish and maintain a secure application development process addressing storage of code, secure design, code review, and application security testing throughout the development lifecycle. Review annually.",IG2,Applications,Govern
16.2,Application Software Security,Establish and Maintain a Process to Accept and Address Software Vulnerabilities,"Establish and maintain a process to accept and address reports of software vulnerabilities, including a means for external entities to report through a vulnerability disclosure program.",IG2,Applications,Respond
16.3,Application Software Security,Perform Root Cause Analysis on Security Vulnerabilities,Perform root cause analysis on security vulnerabilities to determine underlying causes.,IG2,Applications,Respond
16.4,Application Software Security,Establish and Manage an Inventory of Third-Party Software Components,"Establish and manage an updated inventory of third-party components used in development, often referred to as a bill of materials (BOM), as well as components slated for future use.",IG2,Applications,Identify
16.5,Application Software Security,Use Up-to-Date and Trusted Third-Party Software Components,"Use up-to-date and trusted third-party software components, favoring versions supported by an actively maintained project or vendor.",IG2,Applications,Protect
16.6,Application Software Security,Establish and Maintain a Severity Rating System and Process for Application Vulnerabilities,Establish and maintain a severity rating system and process for application vulnerabilities that facilitates prioritizing the order in which discovered vulnerabilities are fixed.,IG2,Applications,Govern
16.7,Application Software Security,Use Standard Hardening Configuration Templates for Application Infrastructure,"Use standard, industry-recommended hardening configuration templates for application infrastructure components.",IG2,Applications,Protect
16.8,Application Software Security,Separate Production and Non-Production Systems,Maintain separate environments for production and non-production systems.,IG2,Applications,Protect
16.9,Application Software Security,Train Developers in Application Security Concepts and Secure Coding,Ensure that all software development personnel receive training in writing secure code for their specific development environment and responsibilities.,IG2,Users,Protect
16.10,Application Software Security,Apply Secure Design Principles in Application Architectures,"Apply secure design principles in application architectures, such as designing access control to be applied at each layer and enforcing least privilege at every layer.",IG2,Applications,Protect
16.11,Application Software Security,Leverage Vetted Modules or Services for Application Security Components,"Leverage vetted modules or services for application security components, such as identity management, encryption, and auditing/logging, rather than building components from scratch.",IG2,Applications,Protect
16.12,Application Software Security,Implement Code-Level Security Checks,Apply static and dynamic analysis tools within the application lifecycle to verify secure coding practices are being followed prior to production release.,IG3,Applications,Protect
16.13,Application Software Security,Conduct Application Penetration Testing,"Conduct application penetration testing, engaging authorized testers to attempt to exploit weaknesses in the application prior to release.",IG3,Applications,Identify
16.14,Application Software Security,Conduct Threat Modeling,"Conduct threat modeling for applications to identify and understand potential threats and attack vectors, such as structured/misuse-case analysis.",IG3,Applications,Identify
17.1,Incident Response Management,Designate Personnel to Manage Incident Handling,"Designate one key person, and at least one backup, to manage the incident handling process.",IG1,Users,Govern
17.2,Incident Response Management,Establish and Maintain Contact Information for Reporting Security Incidents,"Establish and maintain contact information for parties that need to be informed of security incidents, such as internal staff, third-party vendors, and law enforcement. Review annually.",IG1,Users,Respond
17.3,Incident Response Management,Establish and Maintain an Enterprise Process for Reporting Incidents,"Establish and maintain an enterprise process for workforce members to report security incidents, including reporting timeframe, personnel to report to, and required information.",IG1,Users,Respond
17.4,Incident Response Management,Establish and Maintain an Incident Response Process,"Establish and maintain an incident response process that addresses roles and responsibilities, compliance requirements, and communication plans. Review annually, or after major incidents.",IG2,Applications,Govern
17.5,Incident Response Management,Assign Key Roles and Responsibilities,"Assign key roles and responsibilities for incident response, including staff from legal, IT, information security, facilities, public relations, human resources, incident responders, and analysts.",IG2,Users,Govern
17.6,Incident Response Management,Define Mechanisms for Communicating During Incident Response,"Determine which primary and secondary mechanisms will be used to communicate and report during a security incident, ensuring redundancy of communication channels.",IG2,Users,Respond
17.7,Incident Response Management,Conduct Routine Incident Response Exercises,"Plan and conduct routine incident response exercises and scenarios to ensure that personnel understand current threats and risks, and their roles during an incident.",IG2,Users,Respond
17.8,Incident Response Management,Conduct Post-Incident Reviews,Conduct post-incident reviews to help prevent incident recurrence through identifying lessons learned and any follow-up actions.,IG2,Applications,Recover
17.9,Incident Response Management,Establish and Maintain Security Incident Thresholds,"Establish and maintain security incident thresholds, including at a minimum, differentiating between an incident and an event.",IG3,Applications,Detect
18.1,Penetration Testing,Establish and Maintain a Penetration Testing Program,"Establish and maintain a penetration testing program appropriate to the size, complexity, and maturity of the enterprise.",IG2,Applications,Govern
18.2,Penetration Testing,Perform Periodic External Penetration Tests,"Perform periodic external penetration tests based on program requirements, at least annually, against the enterprise's network and application boundary.",IG2,Network,Identify
18.3,Penetration Testing,Remediate Penetration Test Findings,"Remediate penetration test findings based on the enterprise's documented remediation process, ensuring root causes are addressed rather than individual findings alone.",IG2,Applications,Respond
18.4,Penetration Testing,Validate Security Measures,"Validate security measures after each penetration test, incorporating results into a continuous improvement cycle by remediating findings that are not false positives.",IG3,Applications,Identify
18.5,Penetration Testing,Perform Periodic Internal Penetration Tests,"Perform periodic internal penetration tests based on program requirements, at least annually, to identify and exploit weaknesses within the enterprise's internal network.",IG3,Network,Identify
