Requirement ID,Goal,Title,Description
9.4,Implement Strong Access Control Measures,Media securely handled,Media with cardholder data is securely stored accessed distributed and destroyed.
9.5,Implement Strong Access Control Measures,POI devices protected,Point of interaction (POI) devices are protected from tampering and unauthorized substitution.
10.1,Regularly Monitor and Test Networks,Logging processes defined,Processes and mechanisms for logging and monitoring all access to system components are defined and understood.
10.2,Regularly Monitor and Test Networks,Audit logs implemented,Audit logs are implemented to support the detection of anomalies and suspicious activity.
10.3,Regularly Monitor and Test Networks,Audit logs protected,Audit logs are protected from destruction and unauthorized modification.
10.4,Regularly Monitor and Test Networks,Audit logs reviewed,Audit logs are reviewed to identify anomalies or suspicious activity.
10.5,Regularly Monitor and Test Networks,Audit log history retained,Audit log history is retained and available for analysis.
10.6,Regularly Monitor and Test Networks,Time synchronization,Time-synchronization mechanisms support consistent time settings across all systems.
10.7,Regularly Monitor and Test Networks,Critical security control failures detected,Failures of critical security control systems are detected reported and responded to.
11.1,Regularly Monitor and Test Networks,Security testing processes defined,Processes and mechanisms for testing security of systems and networks regularly are defined and understood.
11.2,Regularly Monitor and Test Networks,Wireless access points monitored,Wireless access points are identified and monitored and unauthorized ones are addressed.
11.3,Regularly Monitor and Test Networks,Vulnerabilities identified/addressed,External and internal vulnerabilities are regularly identified prioritized and addressed.
11.4,Regularly Monitor and Test Networks,Penetration testing performed,External and internal penetration testing is regularly performed.
11.5,Regularly Monitor and Test Networks,Intrusions/file changes detected,Network intrusions and unexpected file changes are detected and responded to.
11.6,Regularly Monitor and Test Networks,Payment page changes detected,Unauthorized changes on payment pages are detected and responded to.
12.1,Maintain an Information Security Policy,Information security policy current,A comprehensive information security policy that governs and provides direction for protection of the entity's information assets is known and current.
12.2,Maintain an Information Security Policy,Acceptable use policies defined,Acceptable use policies for end-user technologies are defined and implemented.
12.3,Maintain an Information Security Policy,CDE risks formally managed,Risks to the cardholder data environment are formally identified evaluated and managed.
12.4,Maintain an Information Security Policy,PCI DSS compliance managed,PCI DSS compliance is managed.
12.5,Maintain an Information Security Policy,PCI DSS scope documented/validated,PCI DSS scope is documented and validated.
12.6,Maintain an Information Security Policy,Security awareness ongoing,Security awareness education is an ongoing activity.
12.7,Maintain an Information Security Policy,Personnel screened,Personnel are screened to reduce risks from insider threats.
12.8,Maintain an Information Security Policy,TPSP risk managed,Risk to information assets associated with third-party service provider (TPSP) relationships is managed.
12.9,Maintain an Information Security Policy,TPSPs support customer compliance,Third-party service providers (TPSPs) support their customers' PCI DSS compliance.
12.10,Maintain an Information Security Policy,Incidents responded to immediately,Suspected and confirmed security incidents that could impact the CDE are responded to immediately.
