Objective ID,Domain,Title,Description
APO14,APO,Managed Data,"Achieve and maintain effective data governance and management practices, including establishing a data management function and the associated roles and organizational structures needed to execute a data strategy."
BAI01,BAI,Managed Programs,"Manage all programs from the investment portfolio in a coordinated way, in line with enterprise strategy, based on a standard program management approach."
BAI02,BAI,Managed Requirements Definition,"Identify solutions and analyze requirements before acquisition or creation, to ensure alignment with enterprise strategic requirements covering business processes, applications, information/data, infrastructure and services."
BAI03,BAI,Managed Solutions Identification and Build,"Establish and maintain identified solutions in line with enterprise requirements, covering design, development, procurement/sourcing and partnering with vendors, and their maintenance."
BAI04,BAI,Managed Availability and Capacity,"Balance current and future needs for availability, performance and capacity with cost-effective service provision, including forecasting future performance and capacity requirements."
BAI05,BAI,Managed Organizational Change,"Maximize the likelihood of successfully implementing sustainable enterprise-wide organizational change quickly and with reduced risk, covering the complete life cycle of the change."
BAI06,BAI,Managed IT Changes,"Manage all changes in a controlled manner, including standard changes and emergency maintenance relating to business processes, applications and infrastructure, minimizing disruption."
BAI07,BAI,Managed IT Change Acceptance and Transitioning,"Formally accept and make operational new solutions, including implementation planning, system and data conversion, acceptance testing, communication, release preparation, promotion to production, early production support and a post-implementation review."
BAI08,BAI,Managed Knowledge,"Maintain the availability of relevant, current, validated and reliable knowledge to support all process activities and facilitate decision making across the enterprise."
BAI09,BAI,Managed Assets,"Manage IT assets through their life cycle to ensure their use delivers value at optimal cost, they remain operational and fit for purpose, and they are accounted for and physically protected."
BAI10,BAI,Managed Configuration,"Define and maintain descriptions and relationships between key resources and capabilities needed to deliver IT-enabled services, including collecting configuration information, establishing baselines, and verifying and auditing configuration data."
BAI11,BAI,Managed Projects,"Manage all projects from the investment portfolio, including establishing and running project management teams, defining project scope and outcomes, developing and monitoring plans, and providing progress reports."
DSS01,DSS,Managed Operations,"Coordinate and execute the activities and operational procedures required to deliver internal and outsourced IT services, including the execution of predefined standard operating procedures and required monitoring activities."
DSS02,DSS,Managed Service Requests and Incidents,"Provide timely and effective response to user requests and resolution of all types of incidents to restore normal service, including request fulfillment and incident logging, categorization, prioritization, investigation, diagnosis, resolution and closure."
DSS03,DSS,Managed Problems,"Identify and classify problems and their root causes, and provide timely resolution to prevent recurring incidents, along with recommendations for improvement."
DSS04,DSS,Managed Continuity,"Establish and maintain a plan to enable the business and IT to respond to incidents and disruptions in order to continue operation of critical business processes and required IT services, and to maintain availability of information at a level acceptable to the enterprise."
DSS05,DSS,Managed Security Services,"Protect enterprise information to maintain an acceptable level of information security risk, in line with the security policy, including establishing and maintaining information security roles, access rights, and security monitoring."
DSS06,DSS,Managed Business Process Controls,"Define and maintain appropriate business process controls to ensure that information related to and processed by in-house or outsourced business processes satisfies relevant control requirements."
MEA01,MEA,Managed Performance and Conformance Monitoring,"Collect, validate and evaluate business, IT and process goals and metrics, and monitor that processes are performing against agreed-on performance and conformance goals and metrics."
MEA02,MEA,Managed System of Internal Control,"Continuously monitor and evaluate the control environment, including self-assessments and independent assurance reviews, to enable management to identify control deficiencies and inefficiencies and initiate improvement actions."
MEA03,MEA,Managed Compliance With External Requirements,"Evaluate that IT processes and IT-supported business processes are compliant with laws, regulations and contractual requirements."
MEA04,MEA,Managed Assurance,"Enable the enterprise to design and develop efficient and effective assurance initiatives, providing guidance on planning, scoping, and execution of assurance reviews."
