Requirement ID,Category,Title,Description
CONMON-2,Continuous Monitoring (ConMon),Monthly POA&M Updates,"Update the POA&M monthly with the current status of open items, newly identified vulnerabilities, and remediation progress evidence; submit to the AO/JAB per the ConMon deliverable schedule."
CONMON-3,Continuous Monitoring (ConMon),Annual Security Assessment,Undergo an annual security assessment (full or AO-approved targeted scope) to verify continued control effectiveness across the authorization boundary.
CONMON-4,Continuous Monitoring (ConMon),Annual Penetration Test,"Undergo an annual penetration test performed by a qualified assessor covering the authorization boundary, with results incorporated into the POA&M."
CONMON-5,Continuous Monitoring (ConMon),Annual Contingency Plan Test,"Conduct an annual test/exercise of the Contingency Plan and document results, deficiencies, and lessons learned."
CONMON-6,Continuous Monitoring (ConMon),ConMon Deliverable Submission,"Submit all required continuous monitoring deliverables (scan results, POA&M updates, incident reports, significant change requests, annual assessment and test results) to the authorizing agency or JAB per the agreed ConMon schedule."
SCR-1,Significant Change Management,Significant Change Request (SCR) Process,"Notify and obtain approval from the authorizing official (agency AO or JAB) before implementing significant changes to the authorized system (e.g., new interconnections, major architecture changes, cloud region changes) via a documented Significant Change Request."
SCR-2,Significant Change Management,Change Impact Analysis,"Perform and document a security impact analysis for proposed changes to determine whether a change qualifies as 'significant' and requires prior AO notification/approval, versus routine change management handled internally."
INC-1,Incident Reporting,US-CERT/CISA Incident Reporting Timeline,"Report confirmed security incidents affecting federal data to US-CERT/CISA within the timeframe mandated by federal incident reporting requirements, as referenced in the FedRAMP Incident Communications Procedure."
INC-2,Incident Reporting,Incident Reporting to Authorizing Officials,"Notify the authorizing agency's AO and, where applicable, the JAB, of security incidents per the timelines and contact procedures documented in the Incident Response Plan."
MKT-1,FedRAMP Marketplace,Marketplace Status Tracking,"Track and maintain the CSO's designation on the FedRAMP Marketplace (e.g., FedRAMP Ready, In Process, Authorized) as the authorization progresses."
MKT-2,FedRAMP Marketplace,FedRAMP Ready Designation,"Obtain a 'FedRAMP Ready' designation via a 3PAO-conducted Readiness Assessment Report (RAR) prior to entering full 'In Process' status, demonstrating baseline readiness to prospective agency sponsors."
MKT-3,FedRAMP Marketplace,Sustained Authorized Status,Maintain 'Authorized' status on the Marketplace through sustained ConMon compliance; authorization can be suspended or revoked for ConMon deliverable non-compliance or unresolved high-risk findings.
BND-1,Boundary & Data Flow Documentation,Authorization Boundary Diagram,"Maintain a complete and accurate authorization boundary diagram identifying all components, interconnections, and external services within the system's FedRAMP authorization boundary."
BND-2,Boundary & Data Flow Documentation,Data Flow Diagram,"Maintain data flow diagrams depicting how federal data moves into, through, and out of the system, including the encryption status at each flow point."
BND-3,Boundary & Data Flow Documentation,Leveraged Authorizations & Interconnections,"Document any underlying infrastructure or platform services (leveraged authorizations) the CSO relies on, including their own FedRAMP authorization status, and any external system interconnections requiring an Interconnection Security Agreement (ISA)."
PS-1,Personnel Security,Personnel Screening for Federal Data Access,"Screen personnel (background investigation appropriate to position risk designation) prior to granting access to systems processing federal data, per agency-specific requirements and the personnel security control family."
PS-2,Personnel Security,Foreign National / Access Restrictions,"Apply agency-specific restrictions on foreign national access to federal data and systems, where required by the sponsoring agency's policies."
