Code,Name,Description
DCF-19,Penetration Tests,An external penetration test of production environments is performed by an independent third party periodically or after any significant infrastructure or application changes. Results are reviewed by management and vulnerabilities are tracked to resolution in accordance with company policies.
DCF-20,Asset Inventory,"A centralized asset register is maintained for physical, cloud, and other assets that includes descriptive attributes for asset accountability such as owner, description, location, classification, and/or other information based on the type of asset. Processes are in place to maintain an updated inventory through manual reviews (e.g., as a result of new purchases, installations, removals, system changes, etc.) or automated mechanisms."
DCF-21,Architectural Diagram,A documented architectural diagram is in place to document system boundaries and support the functioning of internal control. The diagram is reviewed and approved by management at least annually and updated as necessary when there are changes to the environment.
DCF-22,Network Diagram,A documented network diagram is in place to document system boundaries and connections to external networks. The diagram is reviewed and approved by management at least annually and updated as necessary when there are changes to the environment.
DCF-25,Disaster Recovery Plan,"Optimized Payments has a documented disaster recovery plan that outlines roles, responsibilities and detailed procedures for recovery of systems in the event of a disaster scenario."
DCF-26,BCP/DR Tests,"Optimized Payments conducts tests of the business continuity/disaster recovery plans at least annually. Results and lessons learned are documented, and updates to the plans are made as necessary."
DCF-27,Cloud Resources Availability,"Business-critical cloud resources are deployed in accordance with high availability architecture principles (e.g., replicated across multiple availability zones or regions, configured for high-availability, etc.)."
DCF-28,Security Events Tracked and Evaluated,"Optimized Payments evaluates security events to determine if they constitute an incident. Incidents are assigned a priority, categorized, documented, tracked, escalated, contained, eradicated, communicated, and resolved in accordance with company policies and procedures."
DCF-29,Incident Response Team,"Optimized Payments has identified and documented roles and responsibilities for incident management (e.g., roles and responsibilities for invoking the incident management process, incident leads, incident handlers, communication coordinators, technical advisors, legal advisors, etc.)."
DCF-30,Incident Response Lessons Learned Documented,"Optimized Payments documents a post-mortem review for identified incidents that includes incident metadata, root-cause analysis, documentation of evidence, summary of containment, eradication, and recovery actions, timelines, incident metrics, evidence of internal and external communications, estimation of impact and scope, and lessons learned, as applicable, in accordance with company policies and procedures."
DCF-31,Software Development Policies,"Optimized Payments has developed policies and procedures governing the system development life cycle, including requirements, design, implementation, testing, and deployment."
DCF-32,Security Policies,"Company policies are accessible to all employees and, as applicable, third parties such as contractors. Personnel are required to acknowledge the information security policy and other topic-specific policies based on their job duties during onboarding and annually thereafter."
DCF-33,Periodic Policy Reviews,"Management reviews and approves company policies at least annually. Updates to the policies are made as deemed necessary (e.g., based on changes to business objectives,  legal or regulatory requirements, organizational risks, etc.)."
DCF-36,Periodic Security Training,"Optimized Payments has established training programs to help personnel gain awareness of information security best practices. Personnel (including employees and contractors as applicable) are required to complete the training during onboarding. Periodic refresher training is provided to personnel at least annually and as deemed necessary (e.g., upon changes in security requirements, policies, regulations, etc.)."
DCF-37,Acceptable Use Policy,Optimized Payments has a documented acceptable use policy that outlines requirements for personnel's usage of company assets.
DCF-38,Performance Evaluations,Management conducts periodic evaluations of performance against established goals and objectives for eligible personnel in accordance with company policies and procedures.
DCF-39,Background Checks,Background checks are conducted on eligible personnel (employees and third parties as deemed necessary by the organization) prior to hire as permitted by local laws.
DCF-41,Independent Board of Directors,The board of directors includes members independent from management who are not involved in control operations.
DCF-42,Defined Roles and Responsibilities,"Management has defined and documented roles and responsibilities for implementation and oversight of the risk management and compliance programs (e.g., security, privacy, AI, etc.)."
DCF-44,Code of Conduct,Optimized Payments maintains a documented code of conduct. Eligible personnel are required to acknowledge Optimized Payments's code of conduct during onboarding and annually thereafter.
DCF-45,Data Protection Policy,"Optimized Payments has a documented a policy that outlines the procedures and technical measures to be implemented at the organization to protect the confidentiality, integrity, and availability of data."
DCF-46,Formal Screening Process,"Management evaluates candidates for employment through a formal screening process. The process may include verification of academic and professional qualifications, identity verifications, validation of personal or professional references, technical interviews, or other steps as deemed applicable by the organization."
DCF-47,Job Descriptions,"Optimized Payments has documented job descriptions for each position at the company, which include roles and responsibilities as well as required qualifications, skills, and experience for the role."
DCF-48,Screen Lockout,Company-managed devices are configured to enforce a screensaver lock with after a defined period of inactivity in accordance with company policies and compliance requirements.
DCF-49,Password Manager,A password manager is installed on all company-managed devices.
DCF-50,Antimalware Software on Devices,Anti-malware software is installed on all company-managed devices.
DCF-51,Automated Updates on Devices,Automated operating system (OS) updates are enabled on company-managed devices to install security patches.
DCF-52,Hard-Disk Encryption,Hard-disk encryption is enabled on all company-managed devices.
DCF-54,Encryption at Rest,Data at rest is encrypted using strong cryptographic algorithms.
DCF-55,Encryption in Transit,Data in transit is encrypted using strong cryptographic algorithms.
DCF-56,Vendor Register and Agreements,"Optimized Payments maintains a vendor/third party register that includes a complete and accurate list of vendors/third parties, relationship owners, description for each of the services provided, risk ratings, results of vendor/third party risk management activities, etc. Optimized Payments executes agreements with vendors and service providers involved in accessing, processing, storing or managing information assets that outline the responsibilities of each vendor or service provider."
DCF-57,Vendor Compliance Monitoring,"Optimized Payments obtains and reviews compliance reports or other evidence for critical vendors and service providers at least annually to monitor the third parties' compliance with industry frameworks, regulations, standards (e.g., SOC 2, ISO, PCI DSS, etc.) and Optimized Payments's requirements. Results of the review and action items, if any, are documented."
DCF-59,Privileged Access Restricted,"Administrative or privileged access to systems, resources, and functions is restricted to authorized personnel."
DCF-60,Secure Password Storage,"Optimized Payments has implemented technical measures to protect stored user passwords for the system (e.g., encryption, hashing, salting, etc.)."
DCF-61,Customer Data Segregation,Optimized Payments has implemented segregation mechanisms so that customers cannot impact or access data or resources of other customers.
DCF-62,Session Termination,"Optimized Payments's systems automatically terminate a user's logical session based on predefined conditions (e.g., predefined periods of inactivity, closure of the system or internet browser, etc.)."
DCF-63,Terms of Service,Optimized Payments maintains a publicly available terms of service for use of the system. All users must agree to the terms of service prior to using the system.
DCF-64,Commitments Communicated to Customers,"Optimized Payments communicates service commitments and system requirements to customers and other external parties, as appropriate, through contracts, agreements, company website, etc. Optimized Payments provides notification to relevant parties of any changes to service commitments and system requirements."
DCF-65,Public Privacy Policy,Optimized Payments maintains a publicly available privacy policy/notice.
DCF-66,Master Service Agreements,Master service agreements outlining specific requirements are executed with enterprise customers or when the standard terms of service may not apply.
DCF-67,Multi-Factor Authentication,Authentication to systems requires the use of multi-factor authentication.
DCF-68,Password Policy and Configuration,Optimized Payments has a documented policy outlining the minimum requirements for passwords used for authentication to organizational systems. Password requirements are enforced for all systems in accordance with company policy.
DCF-69,Access Provisioning,"Access requests to information resources, including physical access and access to systems and data, are documented and approved by management based on least privilege, need to know, and segregation of duties principles."
DCF-70,Access Deprovisioning,"System and physical access is revoked within one business day of effective termination date for terminated users (including employees, third parties and vendors, and other personnel)."
DCF-71,Unique User IDs,Authentication to systems requires the use of unique identities.
DCF-72,Root Access Control,"Root password authentication to production resources (e.g., virtual machines, containers, etc.) is disabled and only allowed for under exceptional circumstances for a limited time duration based on documented business justification and approval from management."
DCF-73,Access to Remote Server Administration Ports Restricted,"Network security controls are in place to restrict public access to remote server administration ports (e.g., SSH, RDP) to authorized IP addresses or address ranges only."
DCF-74,Communication of System Changes,Optimized Payments communicates system changes via release notes or change log in the company's website or via periodic communications.
DCF-75,Restricted Public Access,Cloud resources are configured to deny public access.
DCF-76,Critical Change Management,Emergency changes or hot fixes implemented outside of the standard change management process are reviewed and approved by an authorized individual after implementation.
DCF-77,Data Backups,Backups of production data are performed at least daily and are configured to be retained in accordance with the retention periods established in company policies and procedures.
DCF-78,Storage Bucket Versioning,"Storage buckets that contain sensitive data have versioning enabled to preserve, retrieve, and restore versions of objects."
DCF-79,Logging System,Optimized Payments uses a centralized system that collects and stores logs of system activity and sends alerts to personnel based on pre-configured rules. Access to logs is restricted to authorized personnel.
DCF-85,Network Security Controls,Network security controls are in place to limit inbound and outbound traffic to the environment to only what is necessary based on business justification. All other traffic is specifically denied.
DCF-86,System Monitoring,Production systems and resources are monitored and automated alerts are sent out personnel based on pre-configured rules. Events are triaged to determine if they constitute an incident and escalated per policy if necessary.
DCF-87,Threat Detection System,"A threat detection system is in place to monitor web traffic and suspicious activity. When anomalous traffic activity is identified, alerts are automatically sent to personnel, investigated, and escalated through the incident management process, if necessary."
DCF-88,Web Application Firewall,A web application firewall is in place to protect public-facing web applications from outside threats.
DCF-90,Root Infrastructure Account Monitored,Access to the root account in the cloud infrastructure provider is monitored. Login activity for the root account is investigated and validated for appropriateness.
DCF-91,Intrusion Detection/Prevention System,An intrusion detection system (IDS)/intrusion prevention system (IPS) or equivalent is in place to detect real-time suspicious or anomalous network traffic that may be indicative of threat actor activity and is configured to alert personnel when a potential intrusion is detected.
DCF-92,Encrypted Remote Production Access,"Remote access to production systems is only available through an encrypted connection (e.g., encrypted virtual private network, SSH, etc.)"
DCF-94,Physical Security Policy,Optimized Payments has a documented policy that outlines requirements for physical security.
DCF-95,Monitoring Processing Capacity and Usage,Optimized Payments monitors processing capacity and use of resources continuously to manage demand and to enable the implementation of additional resources as necessary.
DCF-96,Load Balancer,Optimized Payments uses a load balancer to automatically distribute incoming traffic across multiple targets.
DCF-97,Autoscaling,Optimized Payments has enabled auto-scaling configurations to provision new cloud resources when predefined capacity thresholds are met.
DCF-99,Backup Monitoring,Automated notifications are sent to personnel in the event of a backup failure. Backup failures are investigated and resolved by engineering personnel following company policies and procedures.
DCF-100,Backup Restore Testing,Optimized Payments tests the integrity and recoverability of backed-up data at least annually.
DCF-101,Data Retention Policy,Optimized Payments has a documented and implemented a policy for data retention defining the types of data (including company and customer data) and the period of time for which they should be retained.
DCF-102,Data Classification Policy,Optimized Payments has established a data classification policy in order to identify the types of information stored or processed by the organization and the protection measures that are required for each.
DCF-103,Customer Data Deletion Upon Termination,Optimized Payments disposes of customer data upon termination of services in accordance with contractual agreements.
DCF-104,Test Data,Test data is used in testing and development environments to prevent sensitive information from being copied to non-production environments.
DCF-105,Personnel Non-Disclosure Agreements (NDA),"Personnel, including employees and contractors, are required to sign an agreement that outlines confidentiality requirements (e.g., non-disclosure agreements) prior to hire."
DCF-106,Clean Desk and Clear Screen Policies and Procedures,Optimized Payments has defined clear desk and clear screen policies and procedures to protect confidential data (physical and electronic) which are communicated to personnel and enforced across the organization.
DCF-107,Disposal of Sensitive Data on Paper,"When Optimized Payments disposes of hard copy materials, it does so through secure means such as cross-cut shredding, incinerating, or pulping, so that sensitive data cannot be reconstructed."
DCF-108,Secure Storage Mechanisms,"Optimized Payments uses secure storage mechanisms for digital media and hardcopy materials that contain sensitive data (e.g., locked codes, combination locks to offices, rooms and facilities such as key cabinets, etc.) as well as critical equipment and other assets. Access to the secured storage mechanisms (including access to physical keys and knowledge of authentication information) is restricted to authorized personnel."
DCF-109,Disposal of Sensitive Data on Hardware,"Optimized Payments disposes of data on hardware through secure means, such as wiping and hard drive destruction, in accordance with documented policies and procedures."
DCF-110,Acceptable Input Ranges,Optimized Payments's has implemented automated edit checks in the system to limit input to defined value ranges and formats.
DCF-111,Mandatory Fields,Automated application checks are in place that require mandatory fields to be complete before data entry is accepted.
DCF-112,Notice and Acknowledgement of Privacy Practices,Optimized Payments provides notice of its privacy practices to users prior to accessing the system. Users are required to explicitly acknowledge the privacy policy prior to entering information into the system.
DCF-115,Privacy Policy Content,"Optimized Payments's documented Privacy Policy includes information on:
- Purpose for collecting/processing personal information
- Lawful basis for collecting/processing personal information 
- Types of personal information collected or processed
- Choice and consent
- Methods of collection (for example, use of cookies or other tracking techniques)
- Use, retention, and disposal
- Data subject rights
- Use of subprocessors 
- Technical and organizational measures
- Quality, including data subjects' responsibilities for quality
- Monitoring and enforcement"
DCF-120,Periodic Review of Privacy Policy,"Optimized Payments's management reviews the online privacy policy and/or notice at least annually to validate its continued suitability and accuracy. The online privacy policy/notice includes the date it was last updated. Optimized Payments notifies customers of changes to the privacy notice and the nature of the changes, including when personal information will be used for new purposes not previously identified."
DCF-122,Requests for Deletion of PII,Optimized Payments complies with legitimate requests to delete PII from data subjects by permanently and completely erasing the personal information from its existing systems or de-identifying the personal information within the timelines established by regulatory requirements. Optimized Payments provides notification to subprocessors and contractors of the need to delete and informs the data subject whether it has complied with the consumer's request. Supporting documentation is retained.
DCF-123,Procedures for Information Disposal ,Optimized Payments has documented policies and procedures for erasure or destruction of information that has been identified for disposal.
DCF-126,Personal Information Accessible Through System Authentication,"Optimized Payments provides a mechanism for users to view, correct, and/or delete their personal information by authenticating into the system with a username and password and navigating to their profile settings."
DCF-127,Privacy Requirements Communicated to Third parties,"Optimized Payments's privacy policies or other specific instructions for handling personal information, including requirements and procedures to notify Optimized Payments of breaches or unauthorized disclosures, are communicated to third parties to whom personal information is disclosed."
DCF-130,Documentation of Breaches or Unauthorized Disclosures of PII,"Optimized Payments maintains documentation of any personal data breaches or unauthorized disclosures of PII including the facts relating to the personal data breach or disclosure, its effects and impact, and the remedial action taken."
DCF-132,Privacy and Security Requirements in Third-Party Agreements,"Optimized Payments shares information with vendors and third parties only when an executed agreement (e.g., service agreements, business associate agreements, data processing agreements, etc.) is in place that includes security, confidentiality, and privacy requirements for the transfer and processing of information."
DCF-135,Notification of Incidents or Breaches,"Optimized Payments provides communications about breaches and incidents to affected parties, organizational officials, authorities, and other internal and external stakeholders, in accordance with company policies and procedures and contractual and legal obligations."
DCF-136,Use of Subprocessors Communicated,"Optimized Payments communicates to customers any use of subprocessors to process PII (e.g., through a list of subprocessors in the company website or data processing agreement, etc.). Optimized Payments obtains authorization from customers for the use of subprocessors (e.g., through executed data processing agreements, accepting the terms in the website, etc.)."
DCF-140,Point of Contact for Privacy Inquiries,"Optimized Payments provides a contact mechanism for data subjects to submit privacy-related requests or report privacy incidents (e.g., email address, customer portal, etc.)."
DCF-141,Privacy Inquiries Tracked,"Optimized Payments maintains records of privacy rights requests in ticket or log format that includes the date of request, nature of request, manner in which the request was made, the date of the business's response, the nature of the response, and the basis for the denial of the request if the request is denied in whole or in part. Records are retained for a defined period in accordance with legal requirements."
DCF-144,Board Charter Documented,The company's board of directors has a documented charter that outlines its oversight responsibilities for internal control.
DCF-146,Board Meetings,"The company's board of directors, owners, senior leadership, or equivalent body, meets at least annually with management to review company performance, strategic objectives, compliance initiatives, and security and privacy risk and mitigation strategies. Meeting minutes, including decisions made and action items, are documented."
DCF-149,Removable Media Device Encryption,"Optimized Payments encrypts removable media devices, such as USB drives, digital video disks, compact disks, external or removable hard disks, etc., that contain sensitive data, to protect the confidentiality of the information during transport."
DCF-150,Data Loss Prevention (DLP) Mechanisms,"Optimized Payments has implemented data leakage prevention mechanisms to systems that could process, store or transmit sensitive information (e.g., sending personal information via email). These mechanisms are configured to prevent data leakage and generate audit logs and alerts."
DCF-152,Automated Security Updates,"Optimized Payments has implemented automated mechanisms (e.g., unattended upgrades, automated patching tools, etc.) to install security fixes to systems."
DCF-154,Incident Response Test,"Optimized Payments performs a test of all components of the incident response plan and procedures at least annually through different mechanisms (e.g., walk-through or tabletop exercises, simulations, etc.). The documented plan and procedures are updated if necessary based on the results of the test."
DCF-155,Testing of Changes,Changes are tested in an environment separate from production prior to deployment in accordance with the nature of the change. Documented evidence of testing criteria and testing results is retained.
DCF-156,Change Releases Approved,Change releases are approved by authorized personnel prior to deployment to production.
DCF-157,Cybersecurity Insurance,Optimized Payments maintains cybersecurity insurance to mitigate the financial impact of security incidents and business disruptions.
DCF-159,Incident Response Plan,"Optimized Payments has a documented an incident response plan that outlines roles, responsibilities, and procedures to document, analyze, categorize, and respond to incidents. The incident response plan reviewed periodically and updated as needed according to lessons learned from previous incidents and industry developments."
DCF-160,Continuous Control Monitoring,"Optimized Payments uses compliance automation software to identify, select, and continuously monitor internal controls."
DCF-161,Management System Scope,"Optimized Payments has documented the scope of its management system(s) that outlines the boundaries and applicability of the system(s) and considers internal and external issues, requirements of interested parties, and interfaces and dependencies with other organizations."
DCF-162,Statement of Applicability,"Optimized Payments has a documented statement of applicability, which defines the controls deemed necessary by the organization as a result of the risk assessment to implement the risk treatment plan."
DCF-163,Legal Requirements,"Optimized Payments has identified and documented the legal, statutory, regulatory and contractual requirements relevant to the organization. Optimized Payments has assigned responsibility and identified and implemented processes to satisfy these requirements and monitor and review changes."
DCF-164,Management System Management Review,"Optimized Payments's top management conducts reviews of its management system(s) at planned intervals to evaluate suitability, adequacy and effectiveness. Optimized Payments retains documentation of the results of management reviews."
DCF-165,Periodic Independent Assessments,"Optimized Payments conducts evaluations and assessments at planned intervals to ensure that internal controls are effectively implemented and maintained in conformance with the organization's requirements (e.g., internal audits). Optimized Payments retains documented information of the assessment program(s) and results."
DCF-166,Business Continuity Plan,Optimized Payments has a defined business continuity plan that outlines strategies for maintaining operations during a disruption.
DCF-167,Business Impact Analysis,"Optimized Payments performs a business impact analysis (BIA) periodically to identify criticality, business recovery order, and minimum service levels for key business processes and assets. Results of the business impact analysis are documented and incorporated into business continuity and disaster recovery plans."
DCF-168,Vendor Management Policy,Optimized Payments has a documented policy that outlines requirements for managing vendor and third-party relationships through their entire life cycle.
DCF-169,Backup Policy,"Optimized Payments has defined and documented a backup policy that establishes the requirements for backup information, software and systems."
DCF-170,Management System Objectives,"Optimized Payments has documented objectives for its management system(s) (e.g., security objectives, privacy objectives, AI objectives, etc.) and plans to achieve them."
DCF-171,Documented Operating Procedures,"Optimized Payments maintains documented procedures that describe how to perform activities including controls, methods, and processes to be followed to achieve the company's policies objectives and compliance activities. The procedures are reviewed and updated as needed to address changes in processes, technologies, and business objectives, or at least annually, and are available to all relevant parties."
DCF-173,Employment Terms & Conditions,"Personnel responsibilities for information security (including confidentiality, legal, and data handling requirements), including responsibilities that remain after employment, are communicated to and acknowledged by personnel (e.g., through employment contracts, etc.)"
DCF-175,Communications Plan,"Optimized Payments has documented communication plans that establishes procedures for internal and external communications relevant to its information security, privacy, or other programs."
DCF-176,Measurement and Monitoring Plan,Optimized Payments has defined performance and/or effectiveness measurements for its management system(s) and implemented procedures to monitor these measurements periodically as determined by the organization.
DCF-178,Record Management and Control,Optimized Payments implemented procedures for the control of documented information relevant for its management system(s).
DCF-179,Competence Records,"Optimized Payments has identified and documented skill and competence requirements for personnel that contribute to the development, implementation and oversight of its management system(s) and retains documented evidence of competence."
DCF-180,Secure Information Transfer,Optimized Payments has defined and documented policies and procedures for the secure transfer of information within the organization and with any external parties.
DCF-181,Encryption Policy,Optimized Payments has a documented policy that establishes requirements for the use of cryptographic controls.
DCF-182,Asset Management Policy,Optimized Payments has established and documented a policy that outlines requirements for the management and tracking of company assets.
DCF-183,Vulnerability Management Policy,"Optimized Payments has a defined policy that establishes requirements for vulnerability management across the organization, including monitoring, cataloging, and assigning risk ratings to vulnerabilities to prioritize remediation efforts."
DCF-184,Management System Plan,"Optimized Payments has a defined and documented a plan for the establishment, implementation, maintenance, and continuous improvement of its management systems(s)."
DCF-185,Threat Intelligence,"Optimized Payments has implemented mechanisms to collect threat information and produce threat intelligence (e.g., commercial cyber threat intelligence tools, security product/vendor intelligence feeds, open source feeds, etc.) in accordance with defined threat intelligence objectives."
DCF-186,Data De-identification,"Optimized Payments has implemented mechanisms for the de-identification of data that has been classified as sensitive (e.g., data masking, anonymization, pseudonymization, etc.)."
DCF-188,Communication with Advisories and Special Interest Groups,"Optimized Payments exchanges information with relevant security and privacy organizations, professional associations, and other specialist forums, including information on newly identified threats and vulnerabilities, new technologies, etc. (e.g., through bulletin subscriptions, email alerts from security advisories, participation in conferences, etc.)."
DCF-201,Network Security Controls Configuration Standards,"Optimized Payments has defined, documented and implemented configuration standards for network security controls, including configurations for firewalls, routers configured with access control lists, and cloud virtual networks. All services, protocols, and ports allowed are identified, documented, approved, and have a defined business need."
DCF-204,Dataflow Diagram,A dataflow diagram is maintained to show all account data flows across systems and networks. The diagram is reviewed and approved by management at least annually and updated as necessary when there are changes to the environment.
DCF-206,Network Security Controls Between Trusted and Untrusted Networks,Optimized Payments has implemented network security controls between trusted and untrusted networks to prevent unauthorized traffic from traversing network boundaries.
DCF-210,"Insecure Services, Protocols, and Ports Documentation and Control","Optimized Payments identifies all services, protocols, and ports in use considered to be in use. Optimized Payments identifies, documents and implements security features for each insecure service, protocol, or port in use, such that the risk is mitigated."
DCF-212,Network Security Controls Review,Optimized Payments performs a review of network security controls at least once every six months. Results of the review are documented and configurations identified as no longer being supported by a business justification are removed or updated.
DCF-215,Secured Configuration Files,"Configuration files for network security controls (including files, automated and system-based controls, scripts, settings, infrastructure as code, or other parameters used to configure and synchronize network security controls) are secured from unauthorized access and kept consistent with active network configurations."
DCF-216,Network Security Controls Restricting Wireless Network Traffic,Network security controls are implemented to deny all traffic from wireless networks into the environment by default and only allow wireless traffic with authorized business purpose.
DCF-218,Inbound Traffic Restricted Between Untrusted and Trusted Networks ,"Inbound traffic from untrusted networks is restricted to communications with system components that are authorized to provide publicly accessible services, protocols, and ports, and to stateful responses to communications initiated by system components in a trusted network. All other traffic is denied."
DCF-220,Anti-Spoofing Measures,Optimized Payments has implemented anti-spoofing measures to detect and block forged source IP addresses from entering the trusted network.
DCF-223,Sensitive Data Not Directly Accessible From Untrusted Networks ,Network security controls are in place such that system components storing sensitive data are not directly accessible from untrusted networks.
DCF-225,External Private IP Information Disclosure Restricted,"Optimized Payments has implemented mechanisms to restrict disclosure of internal IP addresses and routing information to only authorized parties (for example, network address translation (NAT), proxy servers, etc.)"
DCF-229,"Vendor Default Accounts Disabled, Removed or Changed","All vendor-supplied default accounts are either disabled or removed, or their default password is changed in accordance with the company's policy and compliance requirements."
DCF-231,Changes in Encryption Keys for Wireless Environments,"For wireless environments connected to the environment or transmitting account data, encryption keys are changed whenever personnel with knowledge of the key leave the company or change roles and whenever a key is suspected of or known to be compromised."
DCF-233,Wireless Network Vendor Defaults Changed,"For wireless environments connected to the environment or transmitting sensitive data, all wireless vendor defaults are changed at installation or are confirmed to be secure, including but not limited to default wireless encryption keys, passwords on wireless access points, simple network management protocol (SNMP) defaults, and any other security-related wireless vendor defaults."
DCF-239,One Primary Function per System Component ,"Optimized Payments has implemented technical measures so that primary functions with lower security needs cannot affect the security of primary functions with higher security needs on the same system component (for example, assigning one primary function per system component, isolating functions that exist within the same system component, or securing all functions within the same system component to the level required by the function with the highest security need)."
DCF-240,Only Necessary System Function Services Used,"Optimized Payments uses only necessary services, software programs, protocols, daemons, and functions in system components, and all unnecessary functionality (e.g., scripts, drivers, features, subsystems, file systems, interfaces, unused web servers, programs, etc.) is removed or disabled in accordance with documented configuration standards."
DCF-241,Documentation and Risk Mitigation for Insecure Services,"Optimized Payments has documented business justification and implemented additional security features for any required services, protocols, or daemons in use that are considered insecure so that the risk is mitigated."
DCF-244,System Security Parameters in Configuration Standards,Security parameters in organizational systems are configured in accordance with documented secure configuration standards.
DCF-249,Encrypted Non-Console Administrative Access,"All non-console administrative access is encrypted using strong cryptography, including includes administrative access via browser-based interfaces and application programming interfaces (APIs)."
DCF-253,Data Secure Disposal,"Optimized Payments disposes of data securely upon expiration of the established retention periods, when requested by customers, or when no longer needed for legal, regulatory, and/or business reasons."
DCF-255,Quarterly Cardholder Data Disposal Review,Optimized Payments verifies at least once every three months that stored account data exceeding the defined retention period has been securely deleted or rendered unrecoverable. Evidence of the verification is documented and retained.
DCF-257,Sensitive Authentication Data Storage,Optimized Payments has a documented business justification for the storage of sensitive authentication data.
DCF-258,Sensitive Authentication Data Secured,Optimized Payments encrypts sensitive authentication data (SAD) that is stored electronically prior to completion of authorization using strong cryptography.
DCF-259,Sensitive Authentication Data Deleted after Authorization Process,"If sensitive authentication data (SAD) is received, Optimized Payments deletes and renders the data unrecoverable upon completion of the authorization process."
DCF-260,Full Track Contents Not Retained,The full contents of any track are not retained upon completion of the authorization process.
DCF-261,Card Verification Code Not Retained,The card verification code is not retained upon completion of the authorization process.
DCF-262,PIN Not Retained,The personal identification number (PIN) and the PIN block are not retained upon completion of the authorization process.
DCF-263,PAN is Masked when Displayed,"Optimized Payments has implemented technical measures to mask primary account numbers (PANs) when displayed (on screen, paper receipts, etc.) such that only personnel with a legitimate business need can see more than the bank identification number (BIN) and last four digits of the PAN."
DCF-264,PAN Unreadable Where Stored,"Primary account numbers (PANs) are rendered unreadable anywhere they are stored, including primary storage (databases, or flat files such as text files spreadsheets) as well as non-primary storage (backup, audit logs, exception, or troubleshooting logs)."
DCF-265,Separate Encrypted File System Access Management,Disk encryption implementations are configured to require independent authentication and logical access controls for decryption to protect data in the event of physical loss of a disk.
DCF-267,Sensitive Data on Removable Media Encrypted,Sensitive data on removable storage media is encrypted wherever stored.
DCF-268,Cryptographic Architecture Description (Service Providers Only),"Optimized Payments maintains a documented description of the cryptographic architecture in place, including details of all algorithms, protocols, and keys used for the protection of stored account data, including key strength and expiry date, preventing the use of the same cryptographic keys in production and test environments, description of the key usage for each key, and inventory of any hardware security modules (HSMs), key management systems (KMS), and other secure cryptographic devices (SCDs) used for key management, including type and location of devices."
DCF-269,Restricted Cleartext Key Access,Optimized Payments restricts access to cleartext cryptographic key components to the fewest number of custodians necessary to reduce the risk of stored data being retrieved or rendered visible by unauthorized parties.
DCF-270,Key-Encrypting Keys Secured,Key-encrypting keys used are at least as strong as the data-encrypting keys they protect and are stored separately from data-encrypting keys.
DCF-271,Key Storage Locations Limited,Optimized Payments stores cryptographic keys in the fewest possible locations to minimize the potential for keys to be exposed to unauthorized parties.
