Ref,Category,Title,Description
Civ. Code 1798.130,Business Obligations,Privacy Policy Requirements,"A business must maintain a publicly available, conspicuously posted privacy policy describing its online and offline data practices, consumer rights, and the methods for submitting requests, and update it at least once every 12 months."
Civ. Code 1798.135,Business Obligations,"""Do Not Sell or Share My Personal Info"" Link","A business that sells or shares personal information must provide a clear and conspicuous link on its homepage titled ""Do Not Sell or Share My Personal Information"" (or a combined ""Your Privacy Choices"" link/icon) enabling consumers to opt out."
Civ. Code 1798.135(b),Business Obligations,"Opt-Out Preference Signal (e.g., Global Privacy Control)","A business must treat a valid opt-out preference signal received via a consumer's browser or device (such as Global Privacy Control) as a request to opt out of sale/sharing for that browser or device, and need not additionally post a separate opt-out link for that consumer's session where a signal is honored."
Civ. Code 1798.130(a)(6),Business Obligations,Verification of Consumer Requests,"A business must establish, document, and comply with a reasonable method for verifying that the person making a request to know, delete, or correct is the consumer (or their authorized agent) about whom the business holds information, scaled to the sensitivity of the data and risk of harm from improper disclosure."
Civ. Code 1798.130(a)(2),Business Obligations,Response Timelines (45-Day Statutory Clock),"A business must respond to a verifiable consumer request within 45 calendar days of receipt; this period may be extended once by an additional 45 days when reasonably necessary, provided the consumer is notified of the extension and the reason within the initial 45-day period."
Civ. Code 1798.130(a)(1),Business Obligations,Designated Methods for Submitting Requests,"A business must make available at least two designated methods for submitting requests to know, at minimum a toll-free telephone number, and (if it operates a website) an online web form or similar mechanism; requests to delete, correct, and opt-out must also be reasonably accessible."
Civ. Code 1798.140(ac),Roles & Definitions,Definition: Business,"A for-profit legal entity that collects consumers' personal information, does business in California, determines the purposes and means of processing, and meets at least one applicability threshold: over $25M in annual gross revenue (adjusted periodically), or annually buys/sells/shares the personal information of 100,000+ consumers or households, or derives 50%+ of annual revenue from selling or sharing personal information. Applicability is based on these thresholds, not merely on being California-based."
Civ. Code 1798.140(ag),Roles & Definitions,Definition: Service Provider,"An entity that processes personal information on behalf of a business, pursuant to a written contract, for a business purpose, and that is contractually prohibited from retaining, using, or disclosing the personal information for any purpose other than the business purposes specified in the contract or as otherwise permitted by the CCPA/CPRA."
Civ. Code 1798.140(j),Roles & Definitions,Definition: Contractor (CPRA),"A CPRA-added role: an entity to which the business makes available personal information for a business purpose pursuant to a written contract, subject to use/retention/disclosure restrictions similar to a service provider, but distinguished by how it receives the data (made available by the business, rather than collected on the business's behalf)."
Civ. Code 1798.140(ai),Roles & Definitions,Definition: Third Party,"Any entity that is not the business collecting personal information, not a service provider, and not a contractor, to whom the business discloses personal information; disclosures to third parties for valuable consideration or cross-context behavioral advertising generally constitute a sale or sharing."
Civ. Code 1798.140(v),Roles & Definitions,Definition: Sale,"Selling, renting, releasing, disclosing, disseminating, making available, transferring, or otherwise communicating a consumer's personal information to a third party for monetary or other valuable consideration."
Civ. Code 1798.140(ah),Roles & Definitions,Definition: Sharing (CPRA),"A CPRA-added concept distinct from sale: disclosing or making available a consumer's personal information to a third party for cross-context behavioral advertising, whether or not for monetary or other valuable consideration -- this closed the ad-tech gap left by defining sale around consideration."
Civ. Code 1798.140(ae),Sensitive Personal Information,Definition: Sensitive Personal Information (CPRA),"A CPRA-added category including: Social Security/driver's license/state ID/passport numbers; account log-in, financial account, or payment card credentials combined with access credentials; precise geolocation; racial or ethnic origin; religious or philosophical beliefs; union membership; contents of mail, email, and text messages unless the business is the intended recipient; genetic data; biometric data used to identify a consumer; health data; and data concerning sex life or sexual orientation."
Civ. Code 1798.121,Sensitive Personal Information,Notice of Right to Limit Use of Sensitive Personal Information,"Where a business uses or discloses sensitive personal information for purposes beyond those necessary to provide the requested goods/services, it must provide a notice and a ""Limit the Use of My Sensitive Personal Information"" link enabling consumers to restrict that use."
Civ. Code 1798.100(c),Data Minimization,Data Minimization and Purpose Limitation (CPRA),"A business's collection, use, retention, and sharing of personal information must be reasonably necessary and proportionate to achieve the purposes disclosed at collection or another compatible purpose; using personal information for a materially different purpose requires new notice and, where required, consent."
Civ. Code 1798.100(a)(3),Data Minimization,Retention Limitation,"A business must not retain personal information for longer than is reasonably necessary to achieve the disclosed purpose(s) of collection or processing, and the applicable retention period (or the criteria for determining it) must be stated in the notice at collection and privacy policy."
Civ. Code 1798.100(d),Service Provider / Contractor / Third Party Contracts,Required Contract Terms with Service Providers and Contractors,"Written contracts with service providers and contractors must specify a limited and specified business purpose, prohibit selling/sharing the personal information, prohibit retaining/using/disclosing it outside the direct business relationship or contract, and require certification that the recipient understands and will comply with these restrictions."
Civ. Code 1798.140(ai)(2),Service Provider / Contractor / Third Party Contracts,Required Contract Terms with Third Parties,"Before selling or disclosing personal information to a third party, a business must enter into a contract that specifies the personal information is sold/disclosed only for limited, specified purposes, requires the third party to comply with the CCPA/CPRA, and grants the business rights to take reasonable steps to remediate unauthorized use."
Civ. Code 1798.185(a)(15)(A),Risk Assessment & Cybersecurity Audits (CPRA),Annual Cybersecurity Audits for High-Risk Processing,"Businesses whose processing of personal information presents significant risk to consumers' privacy or security (per CPPA regulations, based on factors like size and sensitivity of data processed) must complete an annual, independent cybersecurity audit assessing the effectiveness of their security programs."
Civ. Code 1798.185(a)(15)(B),Risk Assessment & Cybersecurity Audits (CPRA),Risk Assessments for High-Risk Processing,"Businesses whose processing presents significant risk to consumer privacy must conduct regular risk assessments weighing the benefits of the processing against the risks to consumers, and submit those assessments to the California Privacy Protection Agency (CPPA) on the schedule set by regulation."
Civ. Code 1798.185(a)(16),Risk Assessment & Cybersecurity Audits (CPRA),Automated Decision-Making Technology (ADMT) Access and Opt-Out,"CPPA rulemaking authority extends to requiring businesses to provide consumers access to, and the right to opt out of, automated decision-making technology used for significant decisions (e.g., employment, financial, or lending decisions), including profiling; implementation details are governed by CPPA regulations."
Civ. Code 1798.150,Enforcement,Private Right of Action for Data Breaches,"Consumers whose nonencrypted, nonredacted personal information is breached as a result of a business's failure to implement and maintain reasonable security procedures and practices may bring a civil action for statutory damages between $100 and $750 per consumer per incident (or actual damages, if greater), without needing to show actual harm."
Civ. Code 1798.155,Enforcement,Administrative Enforcement by the CPPA and Attorney General,"The California Privacy Protection Agency (CPPA) and the Attorney General may investigate violations and impose administrative fines (up to $2,500 per violation, or $7,500 per intentional violation or violation involving a minor, adjusted periodically); the CPRA eliminated the general 30-day cure period that existed under the original CCPA for most violations."
Civ. Code 1798.199.10-199.90,Enforcement,California Privacy Protection Agency (CPPA),"The CPRA established the CPPA as the first dedicated state privacy regulator in the U.S., with authority to adopt implementing regulations, investigate violations, and enforce the CCPA/CPRA, supplementing (and in rulemaking areas, superseding) the Attorney General's role."
Civ. Code 1798.175,Enforcement,Preemption of Conflicting Local Ordinances,"The CCPA/CPRA generally occupies the field with respect to the collection and sale of consumers' personal information by businesses, limiting the ability of California cities/counties to impose additional or conflicting requirements on covered businesses."
Civ. Code 1798.192,Enforcement,Waiver Prohibition,"Any provision of a contract or agreement that purports to waive or limit a consumer's rights under the CCPA/CPRA is contrary to public policy, void, and unenforceable."
Civ. Code 1798.145,Roles & Definitions,Exemptions,"The CCPA/CPRA does not apply to certain categories of information already governed by other laws where specified conditions are met, including information subject to the Gramm-Leach-Bliley Act, the Fair Credit Reporting Act, the Driver's Privacy Protection Act, and certain clinical trial and HIPAA-covered health information; exemptions must be evaluated data-category by data-category, not assumed at the organization level."
