Practice ID,Domain,Level,Title,Implementation Status (Met/Not Met/Not Applicable),SPRS Score Impact,Evidence Reference,Owner,Last Review Date
SI.L2-3.14.2,System and Information Integrity,"1, 2",Malicious code protection,Not Met,,,,
SI.L2-3.14.3,System and Information Integrity,2,Monitor security alerts,Not Met,,,,
SI.L2-3.14.4,System and Information Integrity,"1, 2",Update malicious code protection,Not Met,,,,
SI.L2-3.14.5,System and Information Integrity,"1, 2",Periodic and real-time scanning,Not Met,,,,
SI.L2-3.14.6,System and Information Integrity,2,Monitor communications traffic,Not Met,,,,
SI.L2-3.14.7,System and Information Integrity,2,Identify unauthorized system use,Not Met,,,,
AC.L3-3.1.1e,Access Control,3,Dual authorization (illustrative),Not Met,,,,
AU.L3-3.3.1e,Audit and Accountability,3,Enhanced audit capability (illustrative),Not Met,,,,
CM.L3-3.4.1e,Configuration Management,3,Authoritative configuration source (illustrative),Not Met,,,,
IA.L3-3.5.1e,Identification and Authentication,3,Phishing-resistant MFA (illustrative),Not Met,,,,
IR.L3-3.6.1e,Incident Response,3,Dedicated incident response team (illustrative),Not Met,,,,
RA.L3-3.11.1e,Risk Assessment,3,Cyber threat hunting (illustrative),Not Met,,,,
SC.L3-3.13.1e,System and Communications Protection,3,Isolated administration (illustrative),Not Met,,,,
SI.L3-3.14.1e,System and Information Integrity,3,Verified security-critical functions (illustrative),Not Met,,,,
