Practice ID,Domain,Level,Title,Evidence Reviewed,Conformance (Met/Not Met/Partial),Finding,POA&M Reference,Auditor,Audit Date
PE.L2-3.10.6,Physical Protection,2,Alternate work site safeguards,,,,,,
RA.L2-3.11.1,Risk Assessment,2,Periodic risk assessment,,,,,,
RA.L2-3.11.2,Risk Assessment,2,Vulnerability scanning,,,,,,
RA.L2-3.11.3,Risk Assessment,2,Vulnerability remediation,,,,,,
CA.L2-3.12.1,Security Assessment,2,Periodic control assessment,,,,,,
CA.L2-3.12.2,Security Assessment,2,Plans of action,,,,,,
CA.L2-3.12.3,Security Assessment,2,Continuous control monitoring,,,,,,
CA.L2-3.12.4,Security Assessment,2,System security plan,,,,,,
SC.L2-3.13.1,System and Communications Protection,"1, 2",Boundary protection,,,,,,
SC.L2-3.13.2,System and Communications Protection,2,Secure engineering principles,,,,,,
SC.L2-3.13.3,System and Communications Protection,2,Separate user and system functionality,,,,,,
SC.L2-3.13.4,System and Communications Protection,2,Prevent unauthorized information transfer,,,,,,
SC.L2-3.13.5,System and Communications Protection,"1, 2",Publicly accessible subnetworks,,,,,,
SC.L2-3.13.6,System and Communications Protection,2,Deny-by-default network traffic,,,,,,
SC.L2-3.13.7,System and Communications Protection,2,Prevent split tunneling,,,,,,
SC.L2-3.13.8,System and Communications Protection,2,Transmission confidentiality,,,,,,
SC.L2-3.13.9,System and Communications Protection,2,Terminate network connections,,,,,,
SC.L2-3.13.10,System and Communications Protection,2,Cryptographic key management,,,,,,
SC.L2-3.13.11,System and Communications Protection,2,FIPS-validated cryptography,,,,,,
SC.L2-3.13.12,System and Communications Protection,2,Collaborative computing devices,,,,,,
SC.L2-3.13.13,System and Communications Protection,2,Mobile code control,,,,,,
SC.L2-3.13.14,System and Communications Protection,2,VoIP control,,,,,,
SC.L2-3.13.15,System and Communications Protection,2,Communications session authenticity,,,,,,
SC.L2-3.13.16,System and Communications Protection,2,CUI at rest,,,,,,
SI.L2-3.14.1,System and Information Integrity,"1, 2",Identify and correct system flaws,,,,,,
SI.L2-3.14.2,System and Information Integrity,"1, 2",Malicious code protection,,,,,,
SI.L2-3.14.3,System and Information Integrity,2,Monitor security alerts,,,,,,
SI.L2-3.14.4,System and Information Integrity,"1, 2",Update malicious code protection,,,,,,
SI.L2-3.14.5,System and Information Integrity,"1, 2",Periodic and real-time scanning,,,,,,
SI.L2-3.14.6,System and Information Integrity,2,Monitor communications traffic,,,,,,
SI.L2-3.14.7,System and Information Integrity,2,Identify unauthorized system use,,,,,,
AC.L3-3.1.1e,Access Control,3,Dual authorization (illustrative),,,,,,
AU.L3-3.3.1e,Audit and Accountability,3,Enhanced audit capability (illustrative),,,,,,
CM.L3-3.4.1e,Configuration Management,3,Authoritative configuration source (illustrative),,,,,,
IA.L3-3.5.1e,Identification and Authentication,3,Phishing-resistant MFA (illustrative),,,,,,
IR.L3-3.6.1e,Incident Response,3,Dedicated incident response team (illustrative),,,,,,
RA.L3-3.11.1e,Risk Assessment,3,Cyber threat hunting (illustrative),,,,,,
SC.L3-3.13.1e,System and Communications Protection,3,Isolated administration (illustrative),,,,,,
SI.L3-3.14.1e,System and Information Integrity,3,Verified security-critical functions (illustrative),,,,,,
