Control ID,Family,Title,Evidence Reviewed,Conformance (Conform/Nonconform/Partial),Finding,Corrective Action Ref,Assessor,Assessment Date
IR-5,Incident Response,Incident Monitoring,,,,,,
IR-6,Incident Response,Incident Reporting,,,,,,
IR-7,Incident Response,Incident Response Assistance,,,,,,
IR-8,Incident Response,Incident Response Plan,,,,,,
IR-9,Incident Response,Information Spillage Response,,,,,,
IR-10,Incident Response,Integrated Information Security Analysis Team,,,,,,
MA-1,Maintenance,Policy and Procedures,,,,,,
MA-2,Maintenance,Controlled Maintenance,,,,,,
MA-3,Maintenance,Maintenance Tools,,,,,,
MA-4,Maintenance,Nonlocal Maintenance,,,,,,
MA-5,Maintenance,Maintenance Personnel,,,,,,
MA-6,Maintenance,Timely Maintenance,,,,,,
MA-7,Maintenance,Field Maintenance,,,,,,
MP-1,Media Protection,Policy and Procedures,,,,,,
MP-2,Media Protection,Media Access,,,,,,
MP-3,Media Protection,Media Marking,,,,,,
MP-4,Media Protection,Media Storage,,,,,,
MP-5,Media Protection,Media Transport,,,,,,
MP-6,Media Protection,Media Sanitization,,,,,,
MP-7,Media Protection,Media Use,,,,,,
MP-8,Media Protection,Media Downgrading,,,,,,
PE-1,Physical and Environmental Protection,Policy and Procedures,,,,,,
PE-2,Physical and Environmental Protection,Physical Access Authorizations,,,,,,
PE-3,Physical and Environmental Protection,Physical Access Control,,,,,,
PE-4,Physical and Environmental Protection,Access Control for Transmission,,,,,,
PE-5,Physical and Environmental Protection,Access Control for Output Devices,,,,,,
PE-6,Physical and Environmental Protection,Monitoring Physical Access,,,,,,
PE-8,Physical and Environmental Protection,Visitor Access Records,,,,,,
PE-9,Physical and Environmental Protection,Power Equipment and Cabling,,,,,,
PE-10,Physical and Environmental Protection,Emergency Shutoff,,,,,,
PE-11,Physical and Environmental Protection,Emergency Power,,,,,,
PE-12,Physical and Environmental Protection,Emergency Lighting,,,,,,
PE-13,Physical and Environmental Protection,Fire Protection,,,,,,
PE-14,Physical and Environmental Protection,Environmental Controls,,,,,,
PE-15,Physical and Environmental Protection,Water Damage Protection,,,,,,
PE-16,Physical and Environmental Protection,Delivery and Removal,,,,,,
PE-17,Physical and Environmental Protection,Alternate Work Site,,,,,,
PE-18,Physical and Environmental Protection,Location of System Components,,,,,,
PE-19,Physical and Environmental Protection,Information Leakage,,,,,,
PE-20,Physical and Environmental Protection,Asset Monitoring and Tracking,,,,,,
PE-21,Physical and Environmental Protection,Electromagnetic Pulse Protection,,,,,,
PE-22,Physical and Environmental Protection,Component Marking,,,,,,
PE-23,Physical and Environmental Protection,Facility Location,,,,,,
PL-1,Planning,Policy and Procedures,,,,,,
PL-2,Planning,System Security and Privacy Plans,,,,,,
PL-4,Planning,Rules of Behavior,,,,,,
PL-7,Planning,Concept of Operations,,,,,,
PL-8,Planning,Security and Privacy Architectures,,,,,,
PL-9,Planning,Central Management,,,,,,
PL-10,Planning,Baseline Selection,,,,,,
PL-11,Planning,Baseline Tailoring,,,,,,
PM-1,Program Management,Information Security Program Plan,,,,,,
PM-2,Program Management,Information Security Program Leadership Role,,,,,,
PM-3,Program Management,Information Security and Privacy Resources,,,,,,
PM-4,Program Management,Plan of Action and Milestones Process,,,,,,
PM-5,Program Management,System Inventory,,,,,,
PM-6,Program Management,Measures of Performance,,,,,,
PM-7,Program Management,Enterprise Architecture,,,,,,
PM-8,Program Management,Critical Infrastructure Plan,,,,,,
PM-9,Program Management,Risk Management Strategy,,,,,,
PM-10,Program Management,Authorization Process,,,,,,
PM-11,Program Management,Mission and Business Process Definition,,,,,,
PM-12,Program Management,Insider Threat Program,,,,,,
PM-13,Program Management,Security and Privacy Workforce,,,,,,
PM-14,Program Management,"Testing, Training, and Monitoring",,,,,,
PM-15,Program Management,Contacts with Security Groups and Associations,,,,,,
PM-16,Program Management,Threat Awareness Program,,,,,,
PM-17,Program Management,Protecting Controlled Unclassified Information on External Systems,,,,,,
PM-18,Program Management,Privacy Program Plan,,,,,,
PM-19,Program Management,Privacy Program Leadership Role,,,,,,
PM-20,Program Management,Dissemination of Privacy Program Information,,,,,,
PM-21,Program Management,Accounting of Disclosures,,,,,,
PM-22,Program Management,Personally Identifiable Information Quality Management,,,,,,
PM-23,Program Management,Data Governance Body,,,,,,
PM-24,Program Management,Data Integrity Board,,,,,,
PM-25,Program Management,"Minimization of Personally Identifiable Information used in Testing, Training, and Research",,,,,,
PM-26,Program Management,Complaint Management,,,,,,
PM-27,Program Management,Privacy Reporting,,,,,,
PM-28,Program Management,Risk Framing,,,,,,
PM-29,Program Management,Risk Management Program Leadership Roles,,,,,,
PM-30,Program Management,Supply Chain Risk Management Strategy,,,,,,
PM-31,Program Management,Continuous Monitoring Strategy,,,,,,
PM-32,Program Management,Purposing,,,,,,
PS-1,Personnel Security,Policy and Procedures,,,,,,
PS-2,Personnel Security,Position Risk Designation,,,,,,
PS-3,Personnel Security,Personnel Screening,,,,,,
PS-4,Personnel Security,Personnel Termination,,,,,,
PS-5,Personnel Security,Personnel Transfer,,,,,,
PS-6,Personnel Security,Access Agreements,,,,,,
PS-7,Personnel Security,External Personnel Security,,,,,,
PS-8,Personnel Security,Personnel Sanctions,,,,,,
PS-9,Personnel Security,Position Descriptions,,,,,,
PT-1,PII Processing and Transparency,Policy and Procedures,,,,,,
PT-2,PII Processing and Transparency,Authority to Process Personally Identifiable Information,,,,,,
PT-3,PII Processing and Transparency,Personally Identifiable Information Processing Purposes,,,,,,
PT-4,PII Processing and Transparency,Consent,,,,,,
PT-5,PII Processing and Transparency,Privacy Notice,,,,,,
PT-6,PII Processing and Transparency,System of Records Notice,,,,,,
PT-7,PII Processing and Transparency,Specific Categories of Personally Identifiable Information,,,,,,
PT-8,PII Processing and Transparency,Computer Matching Requirements,,,,,,
RA-1,Risk Assessment,Policy and Procedures,,,,,,
RA-2,Risk Assessment,Security Categorization,,,,,,
RA-3,Risk Assessment,Risk Assessment,,,,,,
RA-5,Risk Assessment,Vulnerability Monitoring and Scanning,,,,,,
RA-6,Risk Assessment,Technical Surveillance Countermeasures Survey,,,,,,
RA-7,Risk Assessment,Risk Response,,,,,,
RA-8,Risk Assessment,Privacy Impact Assessments,,,,,,
RA-9,Risk Assessment,Criticality Analysis,,,,,,
RA-10,Risk Assessment,Threat Hunting,,,,,,
SA-1,System and Services Acquisition,Policy and Procedures,,,,,,
SA-2,System and Services Acquisition,Allocation of Resources,,,,,,
SA-3,System and Services Acquisition,System Development Life Cycle,,,,,,
SA-4,System and Services Acquisition,Acquisition Process,,,,,,
SA-5,System and Services Acquisition,System Documentation,,,,,,
SA-8,System and Services Acquisition,Security and Privacy Engineering Principles,,,,,,
SA-9,System and Services Acquisition,External System Services,,,,,,
SA-10,System and Services Acquisition,Developer Configuration Management,,,,,,
SA-11,System and Services Acquisition,Developer Testing and Evaluation,,,,,,
SA-15,System and Services Acquisition,"Development Process, Standards, and Tools",,,,,,
SA-16,System and Services Acquisition,Developer-provided Training,,,,,,
SA-17,System and Services Acquisition,Developer Security and Privacy Architecture and Design,,,,,,
SA-18,System and Services Acquisition,Tamper Resistance and Detection,,,,,,
SA-19,System and Services Acquisition,Component Authenticity,,,,,,
SA-20,System and Services Acquisition,Customized Development of Critical Components,,,,,,
SA-21,System and Services Acquisition,Developer Screening,,,,,,
SA-22,System and Services Acquisition,Unsupported System Components,,,,,,
SA-23,System and Services Acquisition,Specialization,,,,,,
SC-1,System and Communications Protection,Policy and Procedures,,,,,,
SC-2,System and Communications Protection,Separation of System and User Functionality,,,,,,
SC-3,System and Communications Protection,Security Function Isolation,,,,,,
SC-4,System and Communications Protection,Information in Shared System Resources,,,,,,
SC-5,System and Communications Protection,Denial-of-service Protection,,,,,,
SC-6,System and Communications Protection,Resource Availability,,,,,,
SC-7,System and Communications Protection,Boundary Protection,,,,,,
SC-8,System and Communications Protection,Transmission Confidentiality and Integrity,,,,,,
SC-10,System and Communications Protection,Network Disconnect,,,,,,
SC-11,System and Communications Protection,Trusted Path,,,,,,
SC-12,System and Communications Protection,Cryptographic Key Establishment and Management,,,,,,
SC-13,System and Communications Protection,Cryptographic Protection,,,,,,
SC-15,System and Communications Protection,Collaborative Computing Devices and Applications,,,,,,
SC-16,System and Communications Protection,Transmission of Security and Privacy Attributes,,,,,,
SC-17,System and Communications Protection,Public Key Infrastructure Certificates,,,,,,
SC-18,System and Communications Protection,Mobile Code,,,,,,
SC-19,System and Communications Protection,Voice Over Internet Protocol,,,,,,
SC-20,System and Communications Protection,Secure Name/Address Resolution Service (Authoritative Source),,,,,,
SC-21,System and Communications Protection,Secure Name/Address Resolution Service (Recursive or Caching Resolver),,,,,,
SC-22,System and Communications Protection,Architecture and Provisioning for Name/Address Resolution Service,,,,,,
SC-23,System and Communications Protection,Session Authenticity,,,,,,
SC-24,System and Communications Protection,Fail in Known State,,,,,,
SC-25,System and Communications Protection,Thin Nodes,,,,,,
SC-26,System and Communications Protection,Decoys,,,,,,
SC-27,System and Communications Protection,Platform-independent Applications,,,,,,
SC-28,System and Communications Protection,Protection of Information at Rest,,,,,,
SC-29,System and Communications Protection,Heterogeneity,,,,,,
SC-30,System and Communications Protection,Concealment and Misdirection,,,,,,
SC-31,System and Communications Protection,Covert Channel Analysis,,,,,,
SC-32,System and Communications Protection,System Partitioning,,,,,,
SC-34,System and Communications Protection,Non-modifiable Executable Programs,,,,,,
SC-35,System and Communications Protection,External Malicious Code Identification,,,,,,
SC-36,System and Communications Protection,Distributed Processing and Storage,,,,,,
SC-37,System and Communications Protection,Out-of-band Channels,,,,,,
SC-38,System and Communications Protection,Operations Security,,,,,,
SC-39,System and Communications Protection,Process Isolation,,,,,,
SC-40,System and Communications Protection,Wireless Link Protection,,,,,,
SC-41,System and Communications Protection,Port and I/O Device Access,,,,,,
SC-42,System and Communications Protection,Sensor Capability and Data,,,,,,
SC-43,System and Communications Protection,Usage Restrictions,,,,,,
SC-44,System and Communications Protection,Detonation Chambers,,,,,,
SC-45,System and Communications Protection,System Time Synchronization,,,,,,
SC-46,System and Communications Protection,Cross Domain Policy Enforcement,,,,,,
SC-47,System and Communications Protection,Alternate Communications Paths,,,,,,
SC-48,System and Communications Protection,Sensor Relocation,,,,,,
SC-49,System and Communications Protection,Hardware-enforced Separation and Policy Enforcement,,,,,,
SC-50,System and Communications Protection,Software-enforced Separation and Policy Enforcement,,,,,,
SC-51,System and Communications Protection,Hardware-based Protection,,,,,,
SI-1,System and Information Integrity,Policy and Procedures,,,,,,
SI-2,System and Information Integrity,Flaw Remediation,,,,,,
SI-3,System and Information Integrity,Malicious Code Protection,,,,,,
SI-4,System and Information Integrity,System Monitoring,,,,,,
SI-5,System and Information Integrity,"Security Alerts, Advisories, and Directives",,,,,,
SI-6,System and Information Integrity,Security and Privacy Function Verification,,,,,,
SI-7,System and Information Integrity,"Software, Firmware, and Information Integrity",,,,,,
SI-8,System and Information Integrity,Spam Protection,,,,,,
SI-10,System and Information Integrity,Information Input Validation,,,,,,
SI-11,System and Information Integrity,Error Handling,,,,,,
SI-12,System and Information Integrity,Information Management and Retention,,,,,,
SI-13,System and Information Integrity,Predictable Failure Prevention,,,,,,
SI-14,System and Information Integrity,Non-persistence,,,,,,
SI-15,System and Information Integrity,Information Output Filtering,,,,,,
SI-16,System and Information Integrity,Memory Protection,,,,,,
SI-17,System and Information Integrity,Fail-safe Procedures,,,,,,
SI-18,System and Information Integrity,Personally Identifiable Information Quality Operations,,,,,,
SI-19,System and Information Integrity,De-identification,,,,,,
SI-20,System and Information Integrity,Tainting,,,,,,
SI-21,System and Information Integrity,Information Refresh,,,,,,
SI-22,System and Information Integrity,Information Diversity,,,,,,
SI-23,System and Information Integrity,Information Fragmentation,,,,,,
SR-1,Supply Chain Risk Management,Policy and Procedures,,,,,,
SR-2,Supply Chain Risk Management,Supply Chain Risk Management Plan,,,,,,
SR-3,Supply Chain Risk Management,Supply Chain Controls and Processes,,,,,,
SR-4,Supply Chain Risk Management,Provenance,,,,,,
SR-5,Supply Chain Risk Management,"Acquisition Strategies, Tools, and Methods",,,,,,
SR-6,Supply Chain Risk Management,Supplier Assessments and Reviews,,,,,,
SR-7,Supply Chain Risk Management,Supply Chain Operations Security,,,,,,
SR-8,Supply Chain Risk Management,Notification Agreements,,,,,,
SR-9,Supply Chain Risk Management,Tamper Resistance and Detection,,,,,,
SR-10,Supply Chain Risk Management,Inspection of Systems or Components,,,,,,
SR-11,Supply Chain Risk Management,Component Authenticity,,,,,,
SR-12,Supply Chain Risk Management,Component Disposal,,,,,,
