Control ID,Family,Title,Baseline (Low/Moderate/High/Not Selected),Implementation Status (Implemented/Partially Implemented/Planned/Alternative Implementation/Not Applicable),Responsible Role,Evidence Reference,Last Assessed Date
IA-9,Identification and Authentication,Service Identification and Authentication,Not Selected,Planned,,,
IA-10,Identification and Authentication,Adaptive Authentication,Not Selected,Planned,,,
IA-11,Identification and Authentication,Re-authentication,Not Selected,Planned,,,
IA-12,Identification and Authentication,Identity Proofing,Not Selected,Planned,,,
IR-1,Incident Response,Policy and Procedures,Not Selected,Planned,,,
IR-2,Incident Response,Incident Response Training,Not Selected,Planned,,,
IR-3,Incident Response,Incident Response Testing,Not Selected,Planned,,,
IR-4,Incident Response,Incident Handling,Not Selected,Planned,,,
IR-5,Incident Response,Incident Monitoring,Not Selected,Planned,,,
IR-6,Incident Response,Incident Reporting,Not Selected,Planned,,,
IR-7,Incident Response,Incident Response Assistance,Not Selected,Planned,,,
IR-8,Incident Response,Incident Response Plan,Not Selected,Planned,,,
IR-9,Incident Response,Information Spillage Response,Not Selected,Planned,,,
IR-10,Incident Response,Integrated Information Security Analysis Team,Not Selected,Planned,,,
MA-1,Maintenance,Policy and Procedures,Not Selected,Planned,,,
MA-2,Maintenance,Controlled Maintenance,Not Selected,Planned,,,
MA-3,Maintenance,Maintenance Tools,Not Selected,Planned,,,
MA-4,Maintenance,Nonlocal Maintenance,Not Selected,Planned,,,
MA-5,Maintenance,Maintenance Personnel,Not Selected,Planned,,,
MA-6,Maintenance,Timely Maintenance,Not Selected,Planned,,,
MA-7,Maintenance,Field Maintenance,Not Selected,Planned,,,
MP-1,Media Protection,Policy and Procedures,Not Selected,Planned,,,
MP-2,Media Protection,Media Access,Not Selected,Planned,,,
MP-3,Media Protection,Media Marking,Not Selected,Planned,,,
MP-4,Media Protection,Media Storage,Not Selected,Planned,,,
MP-5,Media Protection,Media Transport,Not Selected,Planned,,,
MP-6,Media Protection,Media Sanitization,Not Selected,Planned,,,
MP-7,Media Protection,Media Use,Not Selected,Planned,,,
MP-8,Media Protection,Media Downgrading,Not Selected,Planned,,,
PE-1,Physical and Environmental Protection,Policy and Procedures,Not Selected,Planned,,,
PE-2,Physical and Environmental Protection,Physical Access Authorizations,Not Selected,Planned,,,
PE-3,Physical and Environmental Protection,Physical Access Control,Not Selected,Planned,,,
PE-4,Physical and Environmental Protection,Access Control for Transmission,Not Selected,Planned,,,
PE-5,Physical and Environmental Protection,Access Control for Output Devices,Not Selected,Planned,,,
PE-6,Physical and Environmental Protection,Monitoring Physical Access,Not Selected,Planned,,,
PE-8,Physical and Environmental Protection,Visitor Access Records,Not Selected,Planned,,,
PE-9,Physical and Environmental Protection,Power Equipment and Cabling,Not Selected,Planned,,,
PE-10,Physical and Environmental Protection,Emergency Shutoff,Not Selected,Planned,,,
PE-11,Physical and Environmental Protection,Emergency Power,Not Selected,Planned,,,
PE-12,Physical and Environmental Protection,Emergency Lighting,Not Selected,Planned,,,
PE-13,Physical and Environmental Protection,Fire Protection,Not Selected,Planned,,,
PE-14,Physical and Environmental Protection,Environmental Controls,Not Selected,Planned,,,
PE-15,Physical and Environmental Protection,Water Damage Protection,Not Selected,Planned,,,
PE-16,Physical and Environmental Protection,Delivery and Removal,Not Selected,Planned,,,
PE-17,Physical and Environmental Protection,Alternate Work Site,Not Selected,Planned,,,
PE-18,Physical and Environmental Protection,Location of System Components,Not Selected,Planned,,,
PE-19,Physical and Environmental Protection,Information Leakage,Not Selected,Planned,,,
PE-20,Physical and Environmental Protection,Asset Monitoring and Tracking,Not Selected,Planned,,,
PE-21,Physical and Environmental Protection,Electromagnetic Pulse Protection,Not Selected,Planned,,,
PE-22,Physical and Environmental Protection,Component Marking,Not Selected,Planned,,,
PE-23,Physical and Environmental Protection,Facility Location,Not Selected,Planned,,,
PL-1,Planning,Policy and Procedures,Not Selected,Planned,,,
PL-2,Planning,System Security and Privacy Plans,Not Selected,Planned,,,
PL-4,Planning,Rules of Behavior,Not Selected,Planned,,,
PL-7,Planning,Concept of Operations,Not Selected,Planned,,,
PL-8,Planning,Security and Privacy Architectures,Not Selected,Planned,,,
PL-9,Planning,Central Management,Not Selected,Planned,,,
PL-10,Planning,Baseline Selection,Not Selected,Planned,,,
PL-11,Planning,Baseline Tailoring,Not Selected,Planned,,,
PM-1,Program Management,Information Security Program Plan,Not Selected,Planned,,,
PM-2,Program Management,Information Security Program Leadership Role,Not Selected,Planned,,,
PM-3,Program Management,Information Security and Privacy Resources,Not Selected,Planned,,,
PM-4,Program Management,Plan of Action and Milestones Process,Not Selected,Planned,,,
PM-5,Program Management,System Inventory,Not Selected,Planned,,,
PM-6,Program Management,Measures of Performance,Not Selected,Planned,,,
PM-7,Program Management,Enterprise Architecture,Not Selected,Planned,,,
PM-8,Program Management,Critical Infrastructure Plan,Not Selected,Planned,,,
PM-9,Program Management,Risk Management Strategy,Not Selected,Planned,,,
PM-10,Program Management,Authorization Process,Not Selected,Planned,,,
PM-11,Program Management,Mission and Business Process Definition,Not Selected,Planned,,,
PM-12,Program Management,Insider Threat Program,Not Selected,Planned,,,
PM-13,Program Management,Security and Privacy Workforce,Not Selected,Planned,,,
PM-14,Program Management,"Testing, Training, and Monitoring",Not Selected,Planned,,,
PM-15,Program Management,Contacts with Security Groups and Associations,Not Selected,Planned,,,
PM-16,Program Management,Threat Awareness Program,Not Selected,Planned,,,
PM-17,Program Management,Protecting Controlled Unclassified Information on External Systems,Not Selected,Planned,,,
PM-18,Program Management,Privacy Program Plan,Not Selected,Planned,,,
PM-19,Program Management,Privacy Program Leadership Role,Not Selected,Planned,,,
PM-20,Program Management,Dissemination of Privacy Program Information,Not Selected,Planned,,,
PM-21,Program Management,Accounting of Disclosures,Not Selected,Planned,,,
PM-22,Program Management,Personally Identifiable Information Quality Management,Not Selected,Planned,,,
PM-23,Program Management,Data Governance Body,Not Selected,Planned,,,
PM-24,Program Management,Data Integrity Board,Not Selected,Planned,,,
PM-25,Program Management,"Minimization of Personally Identifiable Information used in Testing, Training, and Research",Not Selected,Planned,,,
PM-26,Program Management,Complaint Management,Not Selected,Planned,,,
PM-27,Program Management,Privacy Reporting,Not Selected,Planned,,,
PM-28,Program Management,Risk Framing,Not Selected,Planned,,,
PM-29,Program Management,Risk Management Program Leadership Roles,Not Selected,Planned,,,
PM-30,Program Management,Supply Chain Risk Management Strategy,Not Selected,Planned,,,
PM-31,Program Management,Continuous Monitoring Strategy,Not Selected,Planned,,,
PM-32,Program Management,Purposing,Not Selected,Planned,,,
PS-1,Personnel Security,Policy and Procedures,Not Selected,Planned,,,
PS-2,Personnel Security,Position Risk Designation,Not Selected,Planned,,,
PS-3,Personnel Security,Personnel Screening,Not Selected,Planned,,,
PS-4,Personnel Security,Personnel Termination,Not Selected,Planned,,,
PS-5,Personnel Security,Personnel Transfer,Not Selected,Planned,,,
PS-6,Personnel Security,Access Agreements,Not Selected,Planned,,,
PS-7,Personnel Security,External Personnel Security,Not Selected,Planned,,,
PS-8,Personnel Security,Personnel Sanctions,Not Selected,Planned,,,
PS-9,Personnel Security,Position Descriptions,Not Selected,Planned,,,
PT-1,PII Processing and Transparency,Policy and Procedures,Not Selected,Planned,,,
PT-2,PII Processing and Transparency,Authority to Process Personally Identifiable Information,Not Selected,Planned,,,
PT-3,PII Processing and Transparency,Personally Identifiable Information Processing Purposes,Not Selected,Planned,,,
PT-4,PII Processing and Transparency,Consent,Not Selected,Planned,,,
PT-5,PII Processing and Transparency,Privacy Notice,Not Selected,Planned,,,
PT-6,PII Processing and Transparency,System of Records Notice,Not Selected,Planned,,,
PT-7,PII Processing and Transparency,Specific Categories of Personally Identifiable Information,Not Selected,Planned,,,
PT-8,PII Processing and Transparency,Computer Matching Requirements,Not Selected,Planned,,,
RA-1,Risk Assessment,Policy and Procedures,Not Selected,Planned,,,
RA-2,Risk Assessment,Security Categorization,Not Selected,Planned,,,
RA-3,Risk Assessment,Risk Assessment,Not Selected,Planned,,,
RA-5,Risk Assessment,Vulnerability Monitoring and Scanning,Not Selected,Planned,,,
RA-6,Risk Assessment,Technical Surveillance Countermeasures Survey,Not Selected,Planned,,,
RA-7,Risk Assessment,Risk Response,Not Selected,Planned,,,
RA-8,Risk Assessment,Privacy Impact Assessments,Not Selected,Planned,,,
RA-9,Risk Assessment,Criticality Analysis,Not Selected,Planned,,,
RA-10,Risk Assessment,Threat Hunting,Not Selected,Planned,,,
SA-1,System and Services Acquisition,Policy and Procedures,Not Selected,Planned,,,
SA-2,System and Services Acquisition,Allocation of Resources,Not Selected,Planned,,,
SA-3,System and Services Acquisition,System Development Life Cycle,Not Selected,Planned,,,
SA-4,System and Services Acquisition,Acquisition Process,Not Selected,Planned,,,
SA-5,System and Services Acquisition,System Documentation,Not Selected,Planned,,,
SA-8,System and Services Acquisition,Security and Privacy Engineering Principles,Not Selected,Planned,,,
SA-9,System and Services Acquisition,External System Services,Not Selected,Planned,,,
SA-10,System and Services Acquisition,Developer Configuration Management,Not Selected,Planned,,,
SA-11,System and Services Acquisition,Developer Testing and Evaluation,Not Selected,Planned,,,
SA-15,System and Services Acquisition,"Development Process, Standards, and Tools",Not Selected,Planned,,,
SA-16,System and Services Acquisition,Developer-provided Training,Not Selected,Planned,,,
SA-17,System and Services Acquisition,Developer Security and Privacy Architecture and Design,Not Selected,Planned,,,
SA-18,System and Services Acquisition,Tamper Resistance and Detection,Not Selected,Planned,,,
SA-19,System and Services Acquisition,Component Authenticity,Not Selected,Planned,,,
SA-20,System and Services Acquisition,Customized Development of Critical Components,Not Selected,Planned,,,
SA-21,System and Services Acquisition,Developer Screening,Not Selected,Planned,,,
SA-22,System and Services Acquisition,Unsupported System Components,Not Selected,Planned,,,
SA-23,System and Services Acquisition,Specialization,Not Selected,Planned,,,
SC-1,System and Communications Protection,Policy and Procedures,Not Selected,Planned,,,
SC-2,System and Communications Protection,Separation of System and User Functionality,Not Selected,Planned,,,
SC-3,System and Communications Protection,Security Function Isolation,Not Selected,Planned,,,
SC-4,System and Communications Protection,Information in Shared System Resources,Not Selected,Planned,,,
SC-5,System and Communications Protection,Denial-of-service Protection,Not Selected,Planned,,,
SC-6,System and Communications Protection,Resource Availability,Not Selected,Planned,,,
SC-7,System and Communications Protection,Boundary Protection,Not Selected,Planned,,,
SC-8,System and Communications Protection,Transmission Confidentiality and Integrity,Not Selected,Planned,,,
SC-10,System and Communications Protection,Network Disconnect,Not Selected,Planned,,,
SC-11,System and Communications Protection,Trusted Path,Not Selected,Planned,,,
SC-12,System and Communications Protection,Cryptographic Key Establishment and Management,Not Selected,Planned,,,
SC-13,System and Communications Protection,Cryptographic Protection,Not Selected,Planned,,,
SC-15,System and Communications Protection,Collaborative Computing Devices and Applications,Not Selected,Planned,,,
SC-16,System and Communications Protection,Transmission of Security and Privacy Attributes,Not Selected,Planned,,,
SC-17,System and Communications Protection,Public Key Infrastructure Certificates,Not Selected,Planned,,,
SC-18,System and Communications Protection,Mobile Code,Not Selected,Planned,,,
SC-19,System and Communications Protection,Voice Over Internet Protocol,Not Selected,Planned,,,
SC-20,System and Communications Protection,Secure Name/Address Resolution Service (Authoritative Source),Not Selected,Planned,,,
SC-21,System and Communications Protection,Secure Name/Address Resolution Service (Recursive or Caching Resolver),Not Selected,Planned,,,
SC-22,System and Communications Protection,Architecture and Provisioning for Name/Address Resolution Service,Not Selected,Planned,,,
SC-23,System and Communications Protection,Session Authenticity,Not Selected,Planned,,,
SC-24,System and Communications Protection,Fail in Known State,Not Selected,Planned,,,
SC-25,System and Communications Protection,Thin Nodes,Not Selected,Planned,,,
SC-26,System and Communications Protection,Decoys,Not Selected,Planned,,,
SC-27,System and Communications Protection,Platform-independent Applications,Not Selected,Planned,,,
SC-28,System and Communications Protection,Protection of Information at Rest,Not Selected,Planned,,,
SC-29,System and Communications Protection,Heterogeneity,Not Selected,Planned,,,
SC-30,System and Communications Protection,Concealment and Misdirection,Not Selected,Planned,,,
SC-31,System and Communications Protection,Covert Channel Analysis,Not Selected,Planned,,,
SC-32,System and Communications Protection,System Partitioning,Not Selected,Planned,,,
SC-34,System and Communications Protection,Non-modifiable Executable Programs,Not Selected,Planned,,,
SC-35,System and Communications Protection,External Malicious Code Identification,Not Selected,Planned,,,
SC-36,System and Communications Protection,Distributed Processing and Storage,Not Selected,Planned,,,
SC-37,System and Communications Protection,Out-of-band Channels,Not Selected,Planned,,,
SC-38,System and Communications Protection,Operations Security,Not Selected,Planned,,,
SC-39,System and Communications Protection,Process Isolation,Not Selected,Planned,,,
SC-40,System and Communications Protection,Wireless Link Protection,Not Selected,Planned,,,
SC-41,System and Communications Protection,Port and I/O Device Access,Not Selected,Planned,,,
SC-42,System and Communications Protection,Sensor Capability and Data,Not Selected,Planned,,,
SC-43,System and Communications Protection,Usage Restrictions,Not Selected,Planned,,,
SC-44,System and Communications Protection,Detonation Chambers,Not Selected,Planned,,,
SC-45,System and Communications Protection,System Time Synchronization,Not Selected,Planned,,,
SC-46,System and Communications Protection,Cross Domain Policy Enforcement,Not Selected,Planned,,,
SC-47,System and Communications Protection,Alternate Communications Paths,Not Selected,Planned,,,
SC-48,System and Communications Protection,Sensor Relocation,Not Selected,Planned,,,
SC-49,System and Communications Protection,Hardware-enforced Separation and Policy Enforcement,Not Selected,Planned,,,
SC-50,System and Communications Protection,Software-enforced Separation and Policy Enforcement,Not Selected,Planned,,,
SC-51,System and Communications Protection,Hardware-based Protection,Not Selected,Planned,,,
SI-1,System and Information Integrity,Policy and Procedures,Not Selected,Planned,,,
SI-2,System and Information Integrity,Flaw Remediation,Not Selected,Planned,,,
SI-3,System and Information Integrity,Malicious Code Protection,Not Selected,Planned,,,
SI-4,System and Information Integrity,System Monitoring,Not Selected,Planned,,,
SI-5,System and Information Integrity,"Security Alerts, Advisories, and Directives",Not Selected,Planned,,,
SI-6,System and Information Integrity,Security and Privacy Function Verification,Not Selected,Planned,,,
SI-7,System and Information Integrity,"Software, Firmware, and Information Integrity",Not Selected,Planned,,,
SI-8,System and Information Integrity,Spam Protection,Not Selected,Planned,,,
SI-10,System and Information Integrity,Information Input Validation,Not Selected,Planned,,,
SI-11,System and Information Integrity,Error Handling,Not Selected,Planned,,,
SI-12,System and Information Integrity,Information Management and Retention,Not Selected,Planned,,,
SI-13,System and Information Integrity,Predictable Failure Prevention,Not Selected,Planned,,,
SI-14,System and Information Integrity,Non-persistence,Not Selected,Planned,,,
SI-15,System and Information Integrity,Information Output Filtering,Not Selected,Planned,,,
SI-16,System and Information Integrity,Memory Protection,Not Selected,Planned,,,
SI-17,System and Information Integrity,Fail-safe Procedures,Not Selected,Planned,,,
SI-18,System and Information Integrity,Personally Identifiable Information Quality Operations,Not Selected,Planned,,,
SI-19,System and Information Integrity,De-identification,Not Selected,Planned,,,
SI-20,System and Information Integrity,Tainting,Not Selected,Planned,,,
SI-21,System and Information Integrity,Information Refresh,Not Selected,Planned,,,
SI-22,System and Information Integrity,Information Diversity,Not Selected,Planned,,,
SI-23,System and Information Integrity,Information Fragmentation,Not Selected,Planned,,,
SR-1,Supply Chain Risk Management,Policy and Procedures,Not Selected,Planned,,,
SR-2,Supply Chain Risk Management,Supply Chain Risk Management Plan,Not Selected,Planned,,,
SR-3,Supply Chain Risk Management,Supply Chain Controls and Processes,Not Selected,Planned,,,
SR-4,Supply Chain Risk Management,Provenance,Not Selected,Planned,,,
SR-5,Supply Chain Risk Management,"Acquisition Strategies, Tools, and Methods",Not Selected,Planned,,,
SR-6,Supply Chain Risk Management,Supplier Assessments and Reviews,Not Selected,Planned,,,
SR-7,Supply Chain Risk Management,Supply Chain Operations Security,Not Selected,Planned,,,
SR-8,Supply Chain Risk Management,Notification Agreements,Not Selected,Planned,,,
SR-9,Supply Chain Risk Management,Tamper Resistance and Detection,Not Selected,Planned,,,
SR-10,Supply Chain Risk Management,Inspection of Systems or Components,Not Selected,Planned,,,
SR-11,Supply Chain Risk Management,Component Authenticity,Not Selected,Planned,,,
SR-12,Supply Chain Risk Management,Component Disposal,Not Selected,Planned,,,
